"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"11","Archaea-Poseidoniia MGIIa",0,0,0,0,0,0,0,245,0,61.25,0,61.25,61.25,0,0,0,0,61.25,20193.62,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0
"12","Archaea-Poseidoniia MGIIb",0,0,0,0,0,0,0,419,0,104.75,0,104.75,104.75,0,0,0,0,104.75,34050.41,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0
"13","Bacteria-Other",0,3,10,0,1,1,0,11,9,3,2.5,4,5.75,3.5,5.25,2.999999997,6.333333327,8.75,3041.61,0,0.342857142857143,1.14285714285714,0,0.114285714285714,0.114285714285714,0,1.25714285714286,1.02857142857143,0.342857142857143,0.285714285714286,0.457142857142857,0.657142857142857,0.4,0.6,0.342857142514286,0.723809523085714
"14","Bacteroidota",0,437,0,0,3,36,0,56,22,23,14.5,133,23.75,124.5,15.25,7.333333326,7.333333326,136.25,48688.04,0,3.20733944954128,0,0,0.0220183486238532,0.264220183486239,0,0.411009174311927,0.161467889908257,0.168807339449541,0.106422018348624,0.976146788990826,0.174311926605505,0.913761467889908,0.111926605504587,0.0538226299155963,0.0538226299155963
"15","Chloroflexota",0,1,9,0,0,6,0,78,99,21,26.25,21.25,23.25,26.5,28.5,32.999999967,35.999999964,42.5,14704.73,0,0.0235294117647059,0.211764705882353,0,0,0.141176470588235,0,1.83529411764706,2.32941176470588,0.494117647058824,0.617647058823529,0.5,0.547058823529412,0.623529411764706,0.670588235294118,0.776470587458824,0.847058822682353
"16","Cyano-Other",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,77.41,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0
"17","Cyano-Pro",0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.25,0.5,0,0.333333333,0.5,177.28,0,0,2,0,0,2,0,0,0,0.5,0.5,0.5,1,0.5,1,0,0.666666666
"18","Dadabacteria",0,5,0,0,0,0,0,1,1,0.25,0.25,1.5,0.25,1.5,0.25,0.333333333,0.333333333,1.5,492.32,0,3.33333333333333,0,0,0,0,0,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,1,0.166666666666667,1,0.166666666666667,0.222222222,0.222222222
"19","Firmicutes",0,1,4,0,0,0,0,3,0,0.75,0,1,1.75,0.25,1,0,1.333333332,2,770.6,0,0.5,2,0,0,0,0,1.5,0,0.375,0,0.5,0.875,0.125,0.5,0,0.666666666
"20","Gamma-Other",0,33,210,0,9,14,0,73,21,21.75,8.75,32.25,76.5,19.25,63.5,6.999999993,76.999999923,84.25,28348.99,0,0.391691394658754,2.49258160237389,0,0.106824925816024,0.166172106824926,0,0.86646884272997,0.249258160237389,0.258160237388724,0.103857566765579,0.382789317507418,0.908011869436202,0.228486646884273,0.753709198813056,0.0830860533293769,0.913946586623145
"21","Gamma-SAR86",0,0,5,0,0,0,0,0,0,0,0,0,1.25,0,1.25,0,1.666666665,1.25,397.23,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.333333332
"22","Gamma-SAR92",0,0,0,0,0,0,0,3,0,0.75,0,0.75,0.75,0,0,0,0,0.75,238.89,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0
"23","Gemmatimonadota",0,0,18,0,0,4,0,28,0,8,1,8,12.5,1,5.5,0,5.999999994,12.5,4295.11,0,0,1.44,0,0,0.32,0,2.24,0,0.64,0.08,0.64,1,0.08,0.44,0,0.47999999952
"24","Marinisomatota",0,0,57,0,1,1,0,0,0,0.25,0.25,0.5,14.75,0.5,14.75,0,18.999999981,14.75,5096.94,0,0,3.86440677966102,0,0.0677966101694915,0.0677966101694915,0,0,0,0.0169491525423729,0.0169491525423729,0.0338983050847458,1,0.0338983050847458,1,0,1.2881355919322
"25","Patescibacteria",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333,0.25,77.84,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.333333332
"26","Planctomycetota",0,1,15,0,0,1,0,1,1,0.5,0.5,0.75,4.25,0.75,4.25,0.333333333,5.333333328,4.5,1630.41,0,0.222222222222222,3.33333333333333,0,0,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0.166666666666667,0.944444444444444,0.166666666666667,0.944444444444444,0.074074074,1.185185184
"27","SAR324",0,1,12,0,0,0,0,0,33,0,8.25,0.25,3,8.5,11.25,10.999999989,14.999999985,11.5,4117.06,0,0.0869565217391304,1.04347826086957,0,0,0,0,0,2.8695652173913,0,0.717391304347826,0.0217391304347826,0.260869565217391,0.739130434782609,0.978260869565217,0.956521738173913,1.30434782478261
"28","Verrucomicrobiota",0,21,0,0,0,3,0,17,9,5,3,10.25,5,8.25,3,2.999999997,2.999999997,10.25,3568.32,0,2.04878048780488,0,0,0,0.292682926829268,0,1.65853658536585,0.878048780487805,0.48780487804878,0.292682926829268,1,0.48780487804878,0.804878048780488,0.292682926829268,0.292682926536585,0.292682926536585
