,Genome,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,Subpathway7,Subpathway8,MaxCompletion,Mean.Completeness,Lifestyle,taxa_elm
12,BATS_SAMN07137069_METAG_DGGBNFID,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,83.74,incomplete,Archaea-Poseidoniia MGIIb
13,BATS_SAMN07137069_METAG_NOFBKALA,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,88.7,incomplete,Archaea-Nitrosopumilaceae
14,BATS_SAMN07137069_METAG_NPIBKNEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.37,auxotroph,Chloroflexota
15,BATS_SAMN07137070_METAG_APGOECFM,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,78.62,incomplete,Archaea-Poseidoniia MGIIb
16,BATS_SAMN07137070_METAG_BGKDDPME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.57,auxotroph,Archaea-Nitrosopumilaceae
17,BATS_SAMN07137070_METAG_BLPGIOAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.97,auxotroph,Actinobacteriota
18,BATS_SAMN07137070_METAG_FENLIEBD,1,0,1,1,1,0,0,0,1,0.5,0.75,0.25,0.5,0.5,0.75,0.666666666666667,0.666666666666667,0.75,88.91,incomplete,Cyano-Syn
19,BATS_SAMN07137070_METAG_IHHCNMND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1,auxotroph,Alpha-Other
20,BATS_SAMN07137070_METAG_LAFPDKBJ,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,81.96,incomplete,Archaea-Poseidoniia MGIIb
21,BATS_SAMN07137071_METAG_BHOICPJG,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,81.87,incomplete,Archaea-Poseidoniia MGIIb
22,BATS_SAMN07137071_METAG_JJLIDMBB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.86,auxotroph,Alpha-Other
23,BATS_SAMN07137071_METAG_LMCBPIBL,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,79.06,incomplete,Archaea-Poseidoniia MGIIb
24,BATS_SAMN07137071_METAG_NHDEKCKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.26,auxotroph,Actinobacteriota
25,BATS_SAMN07137071_METAG_PONJEGOG,1,0,1,1,1,0,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,83.36,incomplete,Cyano-Syn
26,BATS_SAMN07137072_METAG_DFJNNDLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.24,auxotroph,Chloroflexota
27,BATS_SAMN07137072_METAG_DGLHFLDN,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,86.29,incomplete,Archaea-Poseidoniia MGIIb
28,BATS_SAMN07137072_METAG_DMGBPHJB,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,80.53,incomplete,Gemmatimonadota
29,BATS_SAMN07137072_METAG_HNDGHLMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.52,auxotroph,Marinisomatota
30,BATS_SAMN07137072_METAG_MPFHPFLA,0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,77.07,incomplete,Archaea-Nitrosopumilaceae
31,BATS_SAMN07137072_METAG_POIDIKNE,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.25,0.5,0,0.333333333333333,0.5,79.31,incomplete,Archaea-Nitrosopumilaceae
32,BATS_SAMN07137073_METAG_JMILPFGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.43,auxotroph,Bacteroidota
33,BATS_SAMN07137073_METAG_LPHCDAGP,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,81.83,incomplete,Archaea-Nitrosopumilaceae
34,BATS_SAMN07137074_METAG_EHPJFMIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,auxotroph,Bacteroidota
35,BATS_SAMN07137074_METAG_HDEINNNP,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,82.26,incomplete,Archaea-Poseidoniia MGIIb
36,BATS_SAMN07137074_METAG_IMGDKPKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.57,auxotroph,Gamma-SAR86
37,BATS_SAMN07137074_METAG_IMLDABME,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,86.06,incomplete,Archaea-Nitrosopumilaceae
38,BATS_SAMN07137074_METAG_NKPOJNIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.24,auxotroph,Actinobacteriota
39,BATS_SAMN07137074_METAG_OFNLGJME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.88,auxotroph,Alpha-Other
40,BATS_SAMN07137075_METAG_ACAOHBAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,auxotroph,Gamma-SAR86
41,BATS_SAMN07137075_METAG_AKJHGNLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.06,auxotroph,Actinobacteriota
42,BATS_SAMN07137075_METAG_AOGNDBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,auxotroph,Actinobacteriota
43,BATS_SAMN07137075_METAG_ELGOECLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.82,auxotroph,Alpha-Other
44,BATS_SAMN07137075_METAG_LAJLEDEO,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,76.82,incomplete,Archaea-Poseidoniia MGIIb
45,BATS_SAMN07137075_METAG_MCFJILNF,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,78.15,incomplete,Archaea-Poseidoniia MGIIb
46,BATS_SAMN07137076_METAG_CAHCOHNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.62,auxotroph,Bacteroidota
47,BATS_SAMN07137076_METAG_CNALAKDP,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,75.9,incomplete,Gamma-Other
48,BATS_SAMN07137076_METAG_LJNCHAMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.69,auxotroph,Alpha-Pelagibacter
49,BATS_SAMN07137077_METAG_EGGHALDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.45,auxotroph,Chloroflexota
50,BATS_SAMN07137077_METAG_GMOHACNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.13,auxotroph,Actinobacteriota
51,BATS_SAMN07137078_METAG_BFEFAKNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.79,auxotroph,Chloroflexota
52,BATS_SAMN07137078_METAG_CCKNAKNE,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,77.1,incomplete,Archaea-Nitrosopumilaceae
53,BATS_SAMN07137078_METAG_HOACHCKF,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,85.16,incomplete,Archaea-Poseidoniia MGIIb
54,BATS_SAMN07137078_METAG_PEIKFEOP,0,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,75.81,incomplete,Chloroflexota
55,BATS_SAMN07137080_METAG_GGGCCEFE,1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,82.56,incomplete,Marinisomatota
56,BATS_SAMN07137080_METAG_HGHEONPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.46,auxotroph,Alpha-Other
57,BATS_SAMN07137080_METAG_HLJFGJKK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.22,auxotroph,Chloroflexota
58,BATS_SAMN07137080_METAG_JCLACDHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.24,auxotroph,Gamma-SAR86
59,BATS_SAMN07137080_METAG_KPNAPJCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.76,auxotroph,Alpha-Other
60,BATS_SAMN07137080_METAG_MCGMJANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.95,auxotroph,Chloroflexota
61,BATS_SAMN07137080_METAG_MMHFAGGL,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,86.88,incomplete,Cyano-Pro
62,BATS_SAMN07137080_METAG_MMKIJFCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.06,auxotroph,Actinobacteriota
63,BATS_SAMN07137081_METAG_DBGAEJKF,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,78.52,incomplete,Chloroflexota
64,BATS_SAMN07137081_METAG_EDAPPPOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.85,auxotroph,Alpha-Other
65,BATS_SAMN07137083_METAG_AJFMLBHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.85,auxotroph,Actinobacteriota
66,BATS_SAMN07137083_METAG_EDECNLOO,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,78.54,incomplete,Archaea-Nitrosopumilaceae
67,BATS_SAMN07137084_METAG_GGABDFMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.84,auxotroph,Chloroflexota
68,BATS_SAMN07137084_METAG_ILIDLFPI,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,77.56,incomplete,Archaea-Nitrosopumilaceae
69,BATS_SAMN07137084_METAG_OHEDIJJF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.64,auxotroph,Actinobacteriota
70,BATS_SAMN07137085_METAG_DFMHGLCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.56,auxotroph,Bacteroidota
71,BATS_SAMN07137085_METAG_FEEICCHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,auxotroph,Gamma-SAR86
72,BATS_SAMN07137085_METAG_FODJCNAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,auxotroph,Gamma-SAR86
73,BATS_SAMN07137085_METAG_ICGDMHCK,0,1,0,0,1,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0.5,79.56,incomplete,Alpha-Other
74,BATS_SAMN07137085_METAG_ILCDCCGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.38,auxotroph,Marinisomatota
75,BATS_SAMN07137085_METAG_JKJAACCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,auxotroph,Gamma-SAR86
76,BATS_SAMN07137085_METAG_JNAMCKLG,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,96.36,incomplete,Alpha-Other
77,BATS_SAMN07137085_METAG_LOAJIEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.53,auxotroph,Gamma-SAR86
78,BATS_SAMN07137085_METAG_NIGFOFIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,auxotroph,Gamma-SAR86
79,BATS_SAMN07137085_METAG_PHPIHKPK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.22,auxotroph,Gamma-SAR86
80,BATS_SAMN07137086_METAG_CJKOCMME,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,94.29,incomplete,Archaea-Nitrosopumilaceae
81,BATS_SAMN07137086_METAG_DBIIEOJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8,auxotroph,Actinobacteriota
82,BATS_SAMN07137086_METAG_GNBHKPNE,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,91,incomplete,Actinobacteriota
83,BATS_SAMN07137086_METAG_HAKOLABI,1,0,0,1,1,0,0,1,0,0.75,0.5,0.5,0.5,0.25,0.25,0.333333333333333,0,0.75,83.18,incomplete,Gamma-Other
84,BATS_SAMN07137086_METAG_HGFNHELP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.72,auxotroph,Alpha-Other
85,BATS_SAMN07137086_METAG_HNJEHGAI,1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,94.92,incomplete,Marinisomatota
86,BATS_SAMN07137086_METAG_ILAJBOGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.38,auxotroph,Bacteroidota
87,BATS_SAMN07137086_METAG_MOCNKGHL,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,87.86,incomplete,Actinobacteriota
88,BATS_SAMN07137087_METAG_BBPFAGFK,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,85.16,incomplete,Archaea-Poseidoniia MGIIb
89,BATS_SAMN07137087_METAG_BPFGOMMN,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,83,incomplete,Archaea-Nitrosopumilaceae
90,BATS_SAMN07137087_METAG_CDOPEKMJ,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,76.08,incomplete,Chloroflexota
91,BATS_SAMN07137087_METAG_GICAJIFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.99,auxotroph,Chloroflexota
92,BATS_SAMN07137087_METAG_MJFPPJJK,1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,79.8,incomplete,Marinisomatota
93,BATS_SAMN07137088_METAG_AMNAKDDM,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,93.62,incomplete,Bacteroidota
94,BATS_SAMN07137088_METAG_DMCMKNOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.02,auxotroph,Gamma-SAR86
95,BATS_SAMN07137088_METAG_FCCPHKBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92,auxotroph,Gamma-SAR86
96,BATS_SAMN07137088_METAG_FPPDLBLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.84,auxotroph,Gamma-SAR86
97,BATS_SAMN07137088_METAG_GJOHBOPJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,auxotroph,Gamma-SAR86
98,BATS_SAMN07137088_METAG_LCMCGCNF,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,83.34,incomplete,Alpha-Other
99,BATS_SAMN07137088_METAG_MJOOHEFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.07,auxotroph,Bacteroidota
100,BATS_SAMN07137089_METAG_FDODAMEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,auxotroph,Actinobacteriota
101,BATS_SAMN07137089_METAG_INMJCONJ,1,0,1,1,1,0,0,0,1,0.5,0.75,0.25,0.5,0.5,0.75,0.666666666666667,0.666666666666667,0.75,87.04,incomplete,Cyano-Pro
102,BATS_SAMN07137090_METAG_BKFFIOMG,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,75.64,incomplete,Archaea-Poseidoniia MGIIb
103,BATS_SAMN07137090_METAG_CKHLPNPA,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,86.76,incomplete,Actinobacteriota
104,BATS_SAMN07137090_METAG_IBJEELNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28,auxotroph,Actinobacteriota
105,BATS_SAMN07137090_METAG_KNFGANLC,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,81.76,incomplete,Archaea-Poseidoniia MGIIb
106,BATS_SAMN07137090_METAG_KONAJOAK,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,80.71,incomplete,Archaea-Nitrosopumilaceae
107,BATS_SAMN07137090_METAG_OEMAMEFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,auxotroph,Actinobacteriota
108,BATS_SAMN07137091_METAG_BBLHOBIK,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,88.05,incomplete,Bacteroidota
109,BATS_SAMN07137091_METAG_EDBAJBAA,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,94.48,incomplete,Bacteroidota
110,BATS_SAMN07137091_METAG_LHOEBINA,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,87.34,incomplete,Archaea-Nitrosopumilaceae
111,BATS_SAMN07137091_METAG_OMNOJDCO,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,98.26,incomplete,Verrucomicrobiota
112,BATS_SAMN07137092_METAG_CHCDBIHE,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,76.34,incomplete,Archaea-Nitrosopumilaceae
113,BATS_SAMN07137092_METAG_HLMFKHHG,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,86.14,incomplete,Archaea-Poseidoniia MGIIa
114,BATS_SAMN07137092_METAG_KBGJALEJ,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,98.26,incomplete,Verrucomicrobiota
115,BATS_SAMN07137092_METAG_LFPPLGME,0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,75.89,incomplete,Verrucomicrobiota
116,BATS_SAMN07137092_METAG_MEKLHPJB,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,86.56,incomplete,Bacteroidota
117,BATS_SAMN07137092_METAG_MLACAOKI,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,89.61,incomplete,Bacteroidota
118,BATS_SAMN07137093_METAG_CAPMPJHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,auxotroph,Actinobacteriota
119,BATS_SAMN07137094_METAG_GBBMEJPB,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,89.8,incomplete,Bacteroidota
120,BATS_SAMN07137094_METAG_OKFBDJMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.09,auxotroph,Alpha-Pelagibacter
121,BATS_SAMN07137095_METAG_DFBOAJHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.66,auxotroph,Alpha-Other
122,BATS_SAMN07137095_METAG_EHLADIOI,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,91.06,incomplete,Actinobacteriota
123,BATS_SAMN07137095_METAG_FIDBPDOB,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,83.9,incomplete,Actinobacteriota
124,BATS_SAMN07137095_METAG_ODCGBIFA,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,91.5,incomplete,Archaea-Nitrosopumilaceae
125,BATS_SAMN07137096_METAG_CDKGNHGG,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,77.33,incomplete,Archaea-Nitrosopumilaceae
126,BATS_SAMN07137096_METAG_CFFCMBMP,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,85.56,incomplete,Archaea-Nitrosopumilaceae
127,BATS_SAMN07137096_METAG_DDLPOOEM,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,81.8,incomplete,Archaea-Nitrosopumilaceae
128,BATS_SAMN07137096_METAG_ELCMKIIM,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,77.26,incomplete,Archaea-Poseidoniia MGIIb
129,BATS_SAMN07137096_METAG_GCLCDGIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.81,auxotroph,Gamma-Other
130,BATS_SAMN07137096_METAG_GOOOMDDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.96,auxotroph,Chloroflexota
131,BATS_SAMN07137096_METAG_ODEMFOIG,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,85.78,incomplete,Archaea-Poseidoniia MGIIb
132,BATS_SAMN07137097_METAG_HPCMMKML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.37,auxotroph,Alpha-Pelagibacter
133,BATS_SAMN07137098_METAG_EFAPGPKJ,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,91.1,incomplete,Actinobacteriota
134,BATS_SAMN07137098_METAG_FPGMPLOG,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,77.31,incomplete,Archaea-Nitrosopumilaceae
135,BATS_SAMN07137098_METAG_KDEGBFLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,auxotroph,Actinobacteriota
136,BATS_SAMN07137098_METAG_KDLBKOGG,0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,87.72,incomplete,Cyano-Pro
137,BATS_SAMN07137098_METAG_KGKGNECI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.13,auxotroph,Alpha-Other
138,BATS_SAMN07137098_METAG_LEHDILHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.83,auxotroph,Gamma-SAR86
139,BATS_SAMN07137098_METAG_NJOKCKBL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.42,auxotroph,Actinobacteriota
140,BATS_SAMN07137098_METAG_OJBLOMEM,1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,83.2,incomplete,Marinisomatota
141,BATS_SAMN07137098_METAG_OMJMCNAH,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,88.35,incomplete,Actinobacteriota
142,BATS_SAMN07137099_METAG_DELGIJPN,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,84.9,incomplete,Archaea-Poseidoniia MGIIb
143,BATS_SAMN07137099_METAG_FAEABNAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.65,auxotroph,Chloroflexota
144,BATS_SAMN07137099_METAG_JIHFNIGF,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,90,incomplete,Archaea-Nitrosopumilaceae
145,BATS_SAMN07137099_METAG_KBCHOIPA,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,84.84,incomplete,Archaea-Nitrosopumilaceae
146,BATS_SAMN07137101_METAG_BBEIIPCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.42,auxotroph,Alpha-Other
147,BATS_SAMN07137101_METAG_GJJNLGPH,1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,82.76,incomplete,Actinobacteriota
148,BATS_SAMN07137101_METAG_KGHFBFFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,auxotroph,Gamma-SAR86
149,BATS_SAMN07137101_METAG_NKPGGILM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.14,auxotroph,Bacteroidota
