"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"12","Bacteroidota",4,206,1,4,35,201,0,58,145,66.75,88.5,125,73.75,146.75,95.5,49.666666617,48.666666618,155.25,19487.26,0.0257648953301127,1.32689210950081,0.00644122383252818,0.0257648953301127,0.225442834138486,1.29468599033816,0,0.373590982286634,0.933977455716586,0.429951690821256,0.570048309178744,0.805152979066023,0.475040257648953,0.94524959742351,0.615136876006441,0.319914116695652,0.313472892869565
"13","Chloroflexota",14,18,28,14,0,33,0,8,43,17.25,26,14.75,17.25,23.5,26,18.999999993,23.666666669,34.5,4194.82,0.405797101449275,0.521739130434783,0.811594202898551,0.405797101449275,0,0.956521739130435,0,0.231884057971014,1.2463768115942,0.5,0.753623188405797,0.427536231884058,0.5,0.681159420289855,0.753623188405797,0.550724637478261,0.685990338231884
"14","Cyano-Other",3,0,27,3,5,27,0,27,26,15,14.75,14.75,21.5,14.5,21.25,9.666666659,17.666666672,22.5,2625.49,0.133333333333333,0,1.2,0.133333333333333,0.222222222222222,1.2,0,1.2,1.15555555555556,0.666666666666667,0.655555555555556,0.655555555555556,0.955555555555556,0.644444444444444,0.944444444444444,0.429629629288889,0.785185185422222
"15","Cyano-Pro",57,0,108,57,64,72,0,69,99,63.75,71.25,51.25,78.25,58.75,85.75,51.999999989,69.000000022,90.75,10151.41,0.628099173553719,0,1.1900826446281,0.628099173553719,0.705234159779614,0.793388429752066,0,0.760330578512397,1.09090909090909,0.702479338842975,0.785123966942149,0.564738292011019,0.862258953168044,0.647382920110193,0.944903581267218,0.573002754699725,0.760330578754821
"16","Cyano-Syn",16,0,25,16,17,10,0,19,23,15.25,16.25,11.5,17.75,12.5,18.75,13.000000003,16.000000006,19.5,2155.26,0.82051282051282,0,1.28205128205128,0.82051282051282,0.871794871794872,0.512820512820513,0,0.974358974358974,1.17948717948718,0.782051282051282,0.833333333333333,0.58974358974359,0.91025641025641,0.641025641025641,0.961538461538462,0.666666666820513,0.820512820820513
"17","Dadabacteria",0,12,0,0,0,12,0,12,12,6,6,9,6,9,6,3.999999996,3.999999996,9,1054.62,0,1.33333333333333,0,0,0,1.33333333333333,0,1.33333333333333,1.33333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.444444444,0.444444444
"18","Firmicutes",2,1,8,2,3,8,0,6,5,4.5,4.25,4.5,6.25,4.25,6,2.333333331,4.333333333,6.75,883.24,0.296296296296296,0.148148148148148,1.18518518518519,0.296296296296296,0.444444444444444,1.18518518518519,0,0.888888888888889,0.740740740740741,0.666666666666667,0.62962962962963,0.666666666666667,0.925925925925926,0.62962962962963,0.888888888888889,0.345679012,0.641975308592593
"19","Gamma-Alteromonas",4,4,0,4,4,0,0,4,2,3,2.5,3,2,2.5,1.5,2,0.666666666,3,327.34,1.33333333333333,1.33333333333333,0,1.33333333333333,1.33333333333333,0,0,1.33333333333333,0.666666666666667,1,0.833333333333333,1,0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.222222222
"20","Gamma-Other",237,276,266,237,377,217,0,456,151,286.75,210.5,331.5,329,255.25,252.75,129.333333274,138.999999941,406.5,48747.45,0.583025830258303,0.678966789667897,0.654366543665437,0.583025830258303,0.927429274292743,0.533825338253383,0,1.12177121771218,0.371463714637146,0.705412054120541,0.517835178351783,0.81549815498155,0.809348093480935,0.627921279212792,0.621771217712177,0.318163181485855,0.341943419289053
"21","Gamma-SAR92",29,5,31,29,29,10,0,37,7,26.25,18.75,20.25,26.75,12.75,19.25,11.999999988,12.666666656,28.5,3195.26,1.01754385964912,0.175438596491228,1.08771929824561,1.01754385964912,1.01754385964912,0.350877192982456,0,1.29824561403509,0.245614035087719,0.921052631578947,0.657894736842105,0.710526315789474,0.93859649122807,0.447368421052632,0.675438596491228,0.421052631157895,0.444444444070175
"22","Marinisomatota",2,0,2,2,0,1,0,1,0,1.5,1.25,0.5,1,0.25,0.75,0.666666666,0.666666666,1.5,179.4,1.33333333333333,0,1.33333333333333,1.33333333333333,0,0.666666666666667,0,0.666666666666667,0,1,0.833333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.444444444,0.444444444
"23","Patescibacteria",0,1,0,0,1,1,0,0,0,0.25,0.25,0.75,0.5,0.75,0.5,0,0,0.75,81.88,0,1.33333333333333,0,0,1.33333333333333,1.33333333333333,0,0,0,0.333333333333333,0.333333333333333,1,0.666666666666667,1,0.666666666666667,0,0
"24","Planctomycetota",14,19,13,14,24,11,0,22,26,15.25,16.25,19,17.5,20,18.5,13.333333331,12.999999998,25.5,3005.59,0.549019607843137,0.745098039215686,0.509803921568627,0.549019607843137,0.941176470588235,0.431372549019608,0,0.862745098039216,1.01960784313725,0.598039215686274,0.637254901960784,0.745098039215686,0.686274509803922,0.784313725490196,0.725490196078431,0.522875816901961,0.509803921490196
"25","Verrucomicrobiota",0,229,0,0,2,228,0,227,199,113.75,106.75,171.5,114.25,164.5,107.25,66.333333267,66.333333267,171.75,20803.24,0,1.33333333333333,0,0,0.0116448326055313,1.32751091703057,0,1.3216885007278,1.15866084425036,0.662299854439592,0.621542940320233,0.998544395924309,0.665211062590975,0.957787481804949,0.624454148471616,0.386220281030568,0.386220281030568
