"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"11","Archaea-Poseidoniia MGIIb",0,9,0,0,0,0,0,9,0,2.25,0,4.5,2.25,2.25,0,0,0,4.5,725.73,0,2,0,0,0,0,0,2,0,0.5,0,1,0.5,0.5,0,0,0
"12","Bacteria-Other",10,15,19,10,8,19,0,7,13,11.5,13,12.25,13.25,13.75,14.75,7.666666659,10.666666656,21.5,3833.02,0.465116279069767,0.697674418604651,0.883720930232558,0.465116279069767,0.372093023255814,0.883720930232558,0,0.325581395348837,0.604651162790698,0.534883720930233,0.604651162790698,0.569767441860465,0.616279069767442,0.63953488372093,0.686046511627907,0.356589146930233,0.496124030511628
"13","Bacteroidota",58,515,1,58,84,167,0,136,286,104.75,142.25,225.5,97,263,134.5,114.666666552,95.666666571,285.5,52565.57,0.203152364273205,1.80385288966725,0.00350262697022767,0.203152364273205,0.294220665499124,0.584938704028021,0,0.476357267950963,1.00175131348511,0.366900175131349,0.498248686514886,0.78984238178634,0.339754816112084,0.921190893169877,0.471103327495622,0.401634558851138,0.335084646483363
"14","Chloroflexota",12,3,77,12,0,22,0,3,81,12.25,31.75,7,25.5,26.5,45,30.999999969,52.666666677,49,8731.18,0.244897959183673,0.0612244897959184,1.57142857142857,0.244897959183673,0,0.448979591836735,0,0.0612244897959184,1.6530612244898,0.25,0.647959183673469,0.142857142857143,0.520408163265306,0.540816326530612,0.918367346938776,0.632653060591837,1.07482993218367
"15","Cyano-Other",0,0,1,0,0,0,0,1,1,0.25,0.25,0.25,0.5,0.25,0.5,0.333333333,0.666666667,0.5,77.2,0,0,2,0,0,0,0,2,2,0.5,0.5,0.5,1,0.5,1,0.666666666,1.333333334
"16","Cyano-Pro",1,0,26,1,1,20,0,18,26,10,12,9.75,16.25,11.75,18.25,8.999999991,17.333333332,19,3142.4,0.0526315789473684,0,1.36842105263158,0.0526315789473684,0.0526315789473684,1.05263157894737,0,0.947368421052632,1.36842105263158,0.526315789473684,0.631578947368421,0.513157894736842,0.855263157894737,0.618421052631579,0.960526315789474,0.473684210052632,0.91228070168421
"17","Cyano-Syn",0,0,6,0,0,0,0,5,5,1.25,1.25,1.25,2.75,1.25,2.75,1.666666665,3.666666668,3,513.18,0,0,2,0,0,0,0,1.66666666666667,1.66666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.916666666666667,0.416666666666667,0.916666666666667,0.555555555,1.22222222266667
"18","Dadabacteria",0,43,0,0,0,1,0,40,42,10.25,10.75,21,10.25,21.5,10.75,13.999999986,13.999999986,21.5,3712.59,0,2,0,0,0,0.0465116279069767,0,1.86046511627907,1.95348837209302,0.476744186046512,0.5,0.976744186046512,0.476744186046512,1,0.5,0.651162790046512,0.651162790046512
"19","Firmicutes",0,3,2,0,2,1,0,1,1,0.5,0.5,1.75,1.5,1.75,1.5,0.333333333,0.999999999,2.5,492.93,0,1.2,0.8,0,0.8,0.4,0,0.4,0.4,0.2,0.2,0.7,0.6,0.7,0.6,0.1333333332,0.3999999996
"20","Gamma-Alteromonas",0,1,0,0,1,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0.5,75.15,0,2,0,0,2,0,0,0,0,0,0,1,0.5,1,0.5,0,0
"21","Gamma-Other",145,196,232,145,224,74,0,253,44,154.25,102,186.75,195.75,134.5,143.5,62.999999937,91.999999923,260,45159.08,0.557692307692308,0.753846153846154,0.892307692307692,0.557692307692308,0.861538461538462,0.284615384615385,0,0.973076923076923,0.169230769230769,0.593269230769231,0.392307692307692,0.718269230769231,0.752884615384615,0.517307692307692,0.551923076923077,0.242307692065385,0.35384615355
"22","Gamma-SAR86",1,6,1,1,6,0,0,0,0,0.5,0.5,3,1.75,3,1.75,0.333333333,0.333333333,3.5,560.84,0.285714285714286,1.71428571428571,0.285714285714286,0.285714285714286,1.71428571428571,0,0,0,0,0.142857142857143,0.142857142857143,0.857142857142857,0.5,0.857142857142857,0.5,0.0952380951428572,0.0952380951428572
"23","Gamma-SAR92",0,0,3,0,0,24,0,27,23,12.75,11.75,12.75,13.5,11.75,12.5,7.666666659,8.666666658,13.5,2275.75,0,0,0.222222222222222,0,0,1.77777777777778,0,2,1.7037037037037,0.944444444444444,0.87037037037037,0.944444444444444,1,0.87037037037037,0.925925925925926,0.567901234,0.641975308
"24","Gemmatimonadota",1,0,3,1,1,6,0,0,8,2,4,1.75,2.5,3.75,4.5,2.999999997,3.666666665,4.5,794.09,0.222222222222222,0,0.666666666666667,0.222222222222222,0.222222222222222,1.33333333333333,0,0,1.77777777777778,0.444444444444444,0.888888888888889,0.388888888888889,0.555555555555556,0.833333333333333,1,0.666666666,0.814814814444444
"25","Marinisomatota",204,2,203,204,2,7,0,0,7,103.75,105.5,2.75,53,4.5,54.75,70.333333263,69.99999993,105.5,18179.92,1.93364928909953,0.018957345971564,1.92417061611374,1.93364928909953,0.018957345971564,0.0663507109004739,0,0,0.0663507109004739,0.983412322274882,1,0.0260663507109005,0.502369668246445,0.042654028436019,0.518957345971564,0.666666666,0.663507108341232
"26","Patescibacteria",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333,0.333333333,0.5,78.15,2,0,2,2,0,0,0,0,0,1,1,0,0.5,0,0.5,0.666666666,0.666666666
"27","Planctomycetota",58,37,36,58,70,2,0,5,5,30.75,30.75,28.5,28.25,28.5,28.25,20.999999979,13.666666654,39.5,7028.55,1.46835443037975,0.936708860759494,0.911392405063291,1.46835443037975,1.77215189873418,0.0506329113924051,0,0.126582278481013,0.126582278481013,0.778481012658228,0.778481012658228,0.721518987341772,0.715189873417722,0.721518987341772,0.715189873417722,0.531645569088608,0.345991560860759
"28","SAR324",0,2,14,0,2,0,0,0,14,0,3.5,1,4,4.5,7.5,4.666666662,9.333333338,8,1428.9,0,0.25,1.75,0,0.25,0,0,0,1.75,0,0.4375,0.125,0.5,0.5625,0.9375,0.58333333275,1.16666666725
"29","Verrucomicrobiota",0,69,0,0,0,37,0,78,57,28.75,23.5,46,28.75,40.75,23.5,18.999999981,18.999999981,46,7955.77,0,1.5,0,0,0,0.804347826086957,0,1.69565217391304,1.23913043478261,0.625,0.510869565217391,1,0.625,0.885869565217391,0.510869565217391,0.413043477847826,0.413043477847826
