"","Genome","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","taxa_elm","Mean Completeness","Lifestyle"
"15","BATS_SAMN07137070_METAG_APGOECFM",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",78.62,"incomplete"
"16","BATS_SAMN07137070_METAG_BGKDDPME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Archaea-Nitrosopumilaceae",79.57,"auxotroph"
"17","BATS_SAMN07137070_METAG_BLPGIOAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",93.97,"auxotroph"
"18","BATS_SAMN07137070_METAG_FENLIEBD",1,0,1,1,1,0,0,0,1,0.5,0.75,0.25,0.5,0.5,0.75,0.666666666666667,0.666666666666667,0.75,"Cyano-Syn",88.91,"incomplete"
"19","BATS_SAMN07137070_METAG_IHHCNMND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",85.1,"auxotroph"
"20","BATS_SAMN07137070_METAG_LAFPDKBJ",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",81.96,"incomplete"
"21","BATS_SAMN07137071_METAG_BHOICPJG",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",81.87,"incomplete"
"22","BATS_SAMN07137071_METAG_JJLIDMBB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",81.86,"auxotroph"
"23","BATS_SAMN07137071_METAG_LMCBPIBL",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",79.06,"incomplete"
"24","BATS_SAMN07137071_METAG_NHDEKCKD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",90.26,"auxotroph"
"25","BATS_SAMN07137071_METAG_PONJEGOG",1,0,1,1,1,0,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,"Cyano-Syn",83.36,"incomplete"
"26","BATS_SAMN07137072_METAG_DFJNNDLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",93.24,"auxotroph"
"27","BATS_SAMN07137072_METAG_DGLHFLDN",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",86.29,"incomplete"
"28","BATS_SAMN07137072_METAG_DMGBPHJB",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Gemmatimonadota",80.53,"incomplete"
"29","BATS_SAMN07137072_METAG_HNDGHLMM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",82.52,"auxotroph"
"30","BATS_SAMN07137072_METAG_MPFHPFLA",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Archaea-Nitrosopumilaceae",77.07,"incomplete"
"31","BATS_SAMN07137072_METAG_POIDIKNE",0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.25,0.5,0,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",79.31,"incomplete"
"32","BATS_SAMN07137073_METAG_JMILPFGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",77.43,"auxotroph"
"33","BATS_SAMN07137073_METAG_LPHCDAGP",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",81.83,"incomplete"
"34","BATS_SAMN07137074_METAG_EHPJFMIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",77,"auxotroph"
"35","BATS_SAMN07137074_METAG_HDEINNNP",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",82.26,"incomplete"
"36","BATS_SAMN07137074_METAG_IMGDKPKL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",79.57,"auxotroph"
"37","BATS_SAMN07137074_METAG_IMLDABME",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",86.06,"incomplete"
"38","BATS_SAMN07137074_METAG_NKPOJNIF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",78.24,"auxotroph"
"39","BATS_SAMN07137074_METAG_OFNLGJME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",77.88,"auxotroph"
"40","BATS_SAMN07137075_METAG_ACAOHBAE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",89.62,"auxotroph"
"41","BATS_SAMN07137075_METAG_AKJHGNLI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",76.06,"auxotroph"
"42","BATS_SAMN07137075_METAG_AOGNDBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",79.07,"auxotroph"
"43","BATS_SAMN07137075_METAG_ELGOECLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",91.82,"auxotroph"
"44","BATS_SAMN07137075_METAG_LAJLEDEO",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",76.82,"incomplete"
"45","BATS_SAMN07137075_METAG_MCFJILNF",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",78.15,"incomplete"
"46","BATS_SAMN07137076_METAG_CAHCOHNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",77.62,"auxotroph"
"47","BATS_SAMN07137076_METAG_CNALAKDP",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,"Gamma-Other",75.9,"incomplete"
"48","BATS_SAMN07137076_METAG_LJNCHAMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",75.69,"auxotroph"
"49","BATS_SAMN07137077_METAG_EGGHALDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",84.45,"auxotroph"
"50","BATS_SAMN07137077_METAG_GMOHACNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",90.13,"auxotroph"
"51","BATS_SAMN07137078_METAG_BFEFAKNI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",86.79,"auxotroph"
"52","BATS_SAMN07137078_METAG_CCKNAKNE",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",77.1,"incomplete"
"53","BATS_SAMN07137078_METAG_HOACHCKF",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",85.16,"incomplete"
"54","BATS_SAMN07137078_METAG_PEIKFEOP",0,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"Chloroflexota",75.81,"incomplete"
"55","BATS_SAMN07137080_METAG_GGGCCEFE",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",82.56,"incomplete"
"56","BATS_SAMN07137080_METAG_HGHEONPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",76.46,"auxotroph"
"57","BATS_SAMN07137080_METAG_HLJFGJKK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",85.22,"auxotroph"
"58","BATS_SAMN07137080_METAG_JCLACDHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",79.24,"auxotroph"
"59","BATS_SAMN07137080_METAG_KPNAPJCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",77.76,"auxotroph"
"60","BATS_SAMN07137080_METAG_MCGMJANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",78.95,"auxotroph"
"61","BATS_SAMN07137080_METAG_MMHFAGGL",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Cyano-Pro",86.88,"incomplete"
"62","BATS_SAMN07137080_METAG_MMKIJFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",81.06,"auxotroph"
"63","BATS_SAMN07137081_METAG_DBGAEJKF",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"Chloroflexota",78.52,"incomplete"
"64","BATS_SAMN07137081_METAG_EDAPPPOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",80.85,"auxotroph"
"65","BATS_SAMN07137083_METAG_AJFMLBHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",77.85,"auxotroph"
"66","BATS_SAMN07137083_METAG_EDECNLOO",0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,"Archaea-Nitrosopumilaceae",78.54,"incomplete"
"67","BATS_SAMN07137084_METAG_GGABDFMM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",88.84,"auxotroph"
"68","BATS_SAMN07137084_METAG_ILIDLFPI",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",77.56,"incomplete"
"69","BATS_SAMN07137084_METAG_OHEDIJJF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",76.64,"auxotroph"
"70","BATS_SAMN07137085_METAG_DFMHGLCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",93.56,"auxotroph"
"71","BATS_SAMN07137085_METAG_FEEICCHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",76.1,"auxotroph"
"72","BATS_SAMN07137085_METAG_FODJCNAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",77,"auxotroph"
"73","BATS_SAMN07137085_METAG_ICGDMHCK",0,1,0,0,1,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0.5,"Alpha-Other",79.56,"incomplete"
"74","BATS_SAMN07137085_METAG_ILCDCCGI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",77.38,"auxotroph"
"75","BATS_SAMN07137085_METAG_JKJAACCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",84,"auxotroph"
"76","BATS_SAMN07137085_METAG_JNAMCKLG",0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,"Alpha-Other",96.36,"incomplete"
"77","BATS_SAMN07137085_METAG_LOAJIEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",78.53,"auxotroph"
"78","BATS_SAMN07137085_METAG_NIGFOFIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",76.5,"auxotroph"
"79","BATS_SAMN07137085_METAG_PHPIHKPK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",75.22,"auxotroph"
"80","BATS_SAMN07137086_METAG_CJKOCMME",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",94.29,"incomplete"
"81","BATS_SAMN07137086_METAG_DBIIEOJM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",76.8,"auxotroph"
"82","BATS_SAMN07137086_METAG_GNBHKPNE",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",91,"incomplete"
"83","BATS_SAMN07137086_METAG_HAKOLABI",1,0,0,1,1,0,0,1,0,0.75,0.5,0.5,0.5,0.25,0.25,0.333333333333333,0,0.75,"Gamma-Other",83.18,"incomplete"
"84","BATS_SAMN07137086_METAG_HGFNHELP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",77.72,"auxotroph"
"85","BATS_SAMN07137086_METAG_HNJEHGAI",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",94.92,"incomplete"
"86","BATS_SAMN07137086_METAG_ILAJBOGK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",77.38,"auxotroph"
"87","BATS_SAMN07137086_METAG_MOCNKGHL",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",87.86,"incomplete"
"88","BATS_SAMN07137087_METAG_BBPFAGFK",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",85.16,"incomplete"
"89","BATS_SAMN07137087_METAG_BPFGOMMN",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",83,"incomplete"
"90","BATS_SAMN07137087_METAG_CDOPEKMJ",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,"Chloroflexota",76.08,"incomplete"
"91","BATS_SAMN07137087_METAG_GICAJIFE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",86.99,"auxotroph"
"92","BATS_SAMN07137087_METAG_MJFPPJJK",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",79.8,"incomplete"
"93","BATS_SAMN07137088_METAG_AMNAKDDM",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",93.62,"incomplete"
"94","BATS_SAMN07137088_METAG_DMCMKNOK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",80.02,"auxotroph"
"95","BATS_SAMN07137088_METAG_FCCPHKBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",79.92,"auxotroph"
"96","BATS_SAMN07137088_METAG_FPPDLBLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",78.84,"auxotroph"
"97","BATS_SAMN07137088_METAG_GJOHBOPJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",78,"auxotroph"
"98","BATS_SAMN07137088_METAG_LCMCGCNF",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Alpha-Other",83.34,"incomplete"
"99","BATS_SAMN07137088_METAG_MJOOHEFJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",75.07,"auxotroph"
"100","BATS_SAMN07137089_METAG_FDODAMEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",79.5,"auxotroph"
"101","BATS_SAMN07137089_METAG_INMJCONJ",1,0,1,1,1,0,0,0,1,0.5,0.75,0.25,0.5,0.5,0.75,0.666666666666667,0.666666666666667,0.75,"Cyano-Pro",87.04,"incomplete"
"102","BATS_SAMN07137090_METAG_BKFFIOMG",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",75.64,"incomplete"
"103","BATS_SAMN07137090_METAG_CKHLPNPA",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",86.76,"incomplete"
"104","BATS_SAMN07137090_METAG_IBJEELNE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",79.28,"auxotroph"
"105","BATS_SAMN07137090_METAG_KNFGANLC",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",81.76,"incomplete"
"106","BATS_SAMN07137090_METAG_KONAJOAK",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",80.71,"incomplete"
"107","BATS_SAMN07137090_METAG_OEMAMEFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",75.9,"auxotroph"
"108","BATS_SAMN07137091_METAG_BBLHOBIK",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",88.05,"incomplete"
"109","BATS_SAMN07137091_METAG_EDBAJBAA",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",94.48,"incomplete"
"110","BATS_SAMN07137091_METAG_LHOEBINA",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",87.34,"incomplete"
"111","BATS_SAMN07137091_METAG_OMNOJDCO",0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,"Verrucomicrobiota",98.26,"incomplete"
"112","BATS_SAMN07137092_METAG_CHCDBIHE",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",76.34,"incomplete"
"113","BATS_SAMN07137092_METAG_HLMFKHHG",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIa",86.14,"incomplete"
"114","BATS_SAMN07137092_METAG_KBGJALEJ",0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,"Verrucomicrobiota",98.26,"incomplete"
"115","BATS_SAMN07137092_METAG_LFPPLGME",0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,"Verrucomicrobiota",75.89,"incomplete"
"116","BATS_SAMN07137092_METAG_MEKLHPJB",0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,"Bacteroidota",86.56,"incomplete"
"117","BATS_SAMN07137092_METAG_MLACAOKI",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",89.61,"incomplete"
"118","BATS_SAMN07137093_METAG_CAPMPJHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",76.85,"auxotroph"
"119","BATS_SAMN07137094_METAG_GBBMEJPB",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",89.8,"incomplete"
"120","BATS_SAMN07137094_METAG_OKFBDJMM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",84.09,"auxotroph"
"121","BATS_SAMN07137095_METAG_DFBOAJHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",78.66,"auxotroph"
"122","BATS_SAMN07137095_METAG_EHLADIOI",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Actinobacteriota",91.06,"incomplete"
"123","BATS_SAMN07137095_METAG_FIDBPDOB",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",83.9,"incomplete"
"124","BATS_SAMN07137095_METAG_ODCGBIFA",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",91.5,"incomplete"
"125","BATS_SAMN07137096_METAG_CDKGNHGG",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",77.33,"incomplete"
"126","BATS_SAMN07137096_METAG_CFFCMBMP",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",85.56,"incomplete"
"127","BATS_SAMN07137096_METAG_DDLPOOEM",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",81.8,"incomplete"
"128","BATS_SAMN07137096_METAG_ELCMKIIM",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",77.26,"incomplete"
"129","BATS_SAMN07137096_METAG_GCLCDGIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-Other",81.81,"auxotroph"
"130","BATS_SAMN07137096_METAG_GOOOMDDD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",85.96,"auxotroph"
"131","BATS_SAMN07137096_METAG_ODEMFOIG",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",85.78,"incomplete"
"132","BATS_SAMN07137097_METAG_HPCMMKML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",81.37,"auxotroph"
"133","BATS_SAMN07137098_METAG_EFAPGPKJ",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",91.1,"incomplete"
"134","BATS_SAMN07137098_METAG_FPGMPLOG",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",77.31,"incomplete"
"135","BATS_SAMN07137098_METAG_KDEGBFLM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",88.16,"auxotroph"
"136","BATS_SAMN07137098_METAG_KDLBKOGG",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Cyano-Pro",87.72,"incomplete"
"137","BATS_SAMN07137098_METAG_KGKGNECI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other",79.13,"auxotroph"
"138","BATS_SAMN07137098_METAG_LEHDILHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",77.83,"auxotroph"
"139","BATS_SAMN07137098_METAG_NJOKCKBL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",75.42,"auxotroph"
"140","BATS_SAMN07137098_METAG_OJBLOMEM",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",83.2,"incomplete"
"141","BATS_SAMN07137098_METAG_OMJMCNAH",1,1,0,1,0,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0.333333333333333,0,0.5,"Actinobacteriota",88.35,"incomplete"
"142","BATS_SAMN07137099_METAG_DELGIJPN",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",84.9,"incomplete"
"143","BATS_SAMN07137099_METAG_FAEABNAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",78.65,"auxotroph"
