"","Step1:rlp1_align","Step1:K25035","Step2:cupin_align","Step3:met17_align"
"TARA_SAMEA2620672_METAG_ILIJGAAN",0,0,0,1
"MALA_SAMN05422148_METAG_CKCFHHDP",0,0,0,1
"MALA_SAMN05421697_METAG_FKHHNDDA",0,0,1,1
"TARA_SAMN05326645_METAG_PSE00037",0,0,0,1
"MARD_SAMN07311721_REFG_MMP07311721",0,0,0,1
"MARD_SAMN05897979_REFG_MMP05897979",0,0,0,1
"MARD_SAMN05897987_REFG_MMP05897987",0,0,0,1
"MARD_SAMN05897988_REFG_MMP05897988",0,0,0,1
"MARD_SAMN05898003_REFG_MMP05898003",0,0,0,1
"MARD_SAMN05444487_REFG_MMP05444487",0,0,1,1
"TARA_SAMN05326641_METAG_ANW00068",0,0,0,1
"MARD_SAMN05897977_REFG_MMP05897977",0,0,1,1
"MARD_SAMEA3146264_REFG_MMP3146264",1,0,0,0
"MARD_SAMEA3146263_REFG_MMP3146263",1,0,0,0
"MARD_SAMN08384890_REFG_MMP08384890",1,0,0,1
"MARD_SAMD00046775_REFG_MMP00046775",0,0,0,1
"MARD_SAMN04999933_REFG_MMP04999933",0,0,0,1
"MARD_SAMN05421806_REFG_MMP05421806",0,0,0,1
"TARA_SAMEA2623054_METAG_OCMKBGHM",0,0,0,0
"TARA_SAMEA2623477_METAG_OKOGOBFK",0,0,0,0
"TARA_SAMEA2623601_METAG_LGBFILLL",0,0,0,0
"TARA_SAMEA2622658_METAG_CHOAGAJB",0,0,0,1
"TARA_SAMEA2623673_METAG_INBBCOBA",0,0,0,1
"TARA_SAMEA2622119_METAG_PPKCDGLG",0,0,0,1
"MALA_SAMN05422189_METAG_HFLHJDGN",0,0,1,1
"MALA_SAMN05422147_METAG_DIMFAPIO",0,0,0,1
"MARD_SAMD00056695_REFG_MMP00056695",0,0,0,1
"MARD_SAMN05375008_REFG_MMP05375008",1,0,0,1
"MARD_SAMN05897982_REFG_MMP05897982",0,0,0,1
"MARD_SAMEA3146296_REFG_MMP3146296",0,0,0,0
"MARD_SAMN02436107_REFG_MMP02436107",1,0,1,1
"MARD_SAMN09041732_REFG_MMP09041732",1,0,0,1
"MARD_SAMN08979296_REFG_MMP08979296",0,0,0,1
"MARD_SAMN08979297_REFG_MMP08979297",0,0,0,1
"MARD_SAMN09389114_REFG_MMP09389114",1,0,0,1
"MARD_SAMN04488031_REFG_MMP04488031",0,0,0,1
"MARD_SAMN02470762_REFG_MMP02470762",0,0,0,1
"TARA_SAMEA2622843_METAG_HAMAJGDK",0,0,0,1
"TARA_SAMEA2622710_METAG_DGMLDIHH",0,0,0,1
"TARA_SAMEA2622119_METAG_PIMPAEMO",0,0,0,1
"TARA_SAMEA2623756_METAG_CHDMOBPJ",0,0,0,1
"TARA_SAMEA2622901_METAG_ONLLOMFJ",0,0,0,1
"TARA_SAMEA2623350_METAG_DDHLMPBK",0,0,0,1
"MALA_SAMN05422160_METAG_ANLEPEDM",0,0,0,1
"TARA_SAMN05326644_METAG_PON00013",0,0,0,1
"TARA_SAMN05326641_METAG_ANW00006",0,0,0,1
"MARD_SAMN09245787_REFG_MMP09245787",0,0,1,1
"MARD_SAMEA18850168_REFG_MMP18850168",0,0,1,1
"MARD_SAMN05408344_REFG_MMP05408344",0,0,0,1
"MARD_SAMN02261354_REFG_MMP02261354",1,0,0,0
"MARD_SAMN10231957_REFG_MMP10231957",0,0,1,1
"MARD_SAMN05728473_REFG_MMP05728473",0,0,1,1
"MARD_SAMN05687755_REFG_MMP05687755",0,0,1,1
"TARA_SAMEA2730749_METAG_OLPPLKCL",0,0,0,0
"TARA_SAMEA2623859_METAG_BABDCONI",0,0,0,0
"TARA_SAMEA4397666_METAG_KIBCBFEH",0,0,0,1
"TARA_SAMEA2622765_METAG_MAMIPFJC",0,0,0,1
"TARA_SAMEA2622716_METAG_HLCJJFFL",0,0,0,1
"TARA_SAMEA2622823_METAG_INOAMIGG",0,0,0,1
"MALA_SAMN05422170_METAG_EDLGNPJL",0,0,0,1
"TARA_SAMN05326646_METAG_PSW00017",0,0,0,1
"MARD_SAMN05284051_REFG_MMP05284051",0,0,1,1
"MARD_SAMN08886634_SAGS_MMP08886634",1,0,0,1
"MARD_SAMD00000429_REFG_MMP00000429",0,0,0,1
"MARD_SAMEA3146324_REFG_MMP3146324",1,0,0,0
"MARD_SAMN02261244_REFG_MMP02261244",0,0,0,1
"MARD_SAMN02441415_REFG_MMP02441415",1,0,0,0
"MARD_SAMN09920664_REFG_MMP09920664",1,0,0,1
"MARD_SAMN08979298_REFG_MMP08979298",0,0,0,1
"TARA_SAMEA4398387_METAG_JJNBKCLE",1,0,1,1
"TARA_SAMEA4398360_METAG_PDKANFIF",0,0,0,1
"TARA_SAMEA4398001_METAG_ICBKCJOL",1,0,1,1
"TARA_SAMEA2623116_METAG_MLHPBBMM",1,0,0,1
"TARA_SAMEA2622766_METAG_KENIBHCH",0,0,0,1
"MALA_SAMN05422140_METAG_DMBKAHMH",0,0,0,1
"TARA_SAMN05326645_METAG_PSE00039",0,0,0,1
"MARD_SAMN08886510_SAGS_MMP08886510",1,0,0,1
"MARD_SAMN06140193_REFG_MMP06140193",0,0,0,1
"MARD_SAMEA3872802_REFG_MMP3872802",1,0,0,1
"MARD_SAMN02261341_REFG_MMP02261341",1,0,1,0
"MARD_SAMN02436091_REFG_MMP02436091",1,0,1,0
"MARD_SAMN02436130_REFG_MMP02436130",0,0,1,1
"MARD_SAMN02436164_REFG_MMP02436164",0,0,0,1
"MARD_SAMN08918410_REFG_MMP08918410",0,0,1,1
"MARD_SAMEA4707923_REFG_MMP4707923",1,0,0,1
"MARD_SAMD00053328_REFG_MMP00053328",1,0,0,1
"MARD_SAMD00053329_REFG_MMP00053329",1,0,0,1
"MARD_SAMN05216207_REFG_MMP05216207",1,0,1,1
"MARD_SAMEA3872803_REFG_MMP3872803",1,0,1,1
"MARD_SAMN02745681_REFG_MMP02745681",0,0,0,1
"MARD_SAMN05421874_REFG_MMP05421874",0,0,0,1
"TARA_SAMEA4398111_METAG_GFHMNJCF",1,0,1,1
"TARA_SAMEA4398027_METAG_FDKLNHGC",1,0,1,1
"TARA_SAMEA4398168_METAG_NGBJHDBI",1,0,1,1
"TARA_SAMEA4397023_METAG_OPBOBABD",1,0,1,1
"TARA_SAMEA4398387_METAG_OKGACJPI",0,0,0,1
"TARA_SAMEA4397051_METAG_PCLNEFKO",1,0,1,1
"TARA_SAMEA2620666_METAG_OJMAHLBC",0,0,1,1
"TARA_SAMEA2620756_METAG_MAJFFPAD",0,0,0,1
"MALA_SAMN05422140_METAG_LOIBJDFA",0,0,0,1
"MARD_SAMN08794446_REFG_MMP08794446",0,0,0,1
"MARD_SAMN08886605_SAGS_MMP08886605",1,0,0,1
"MARD_SAMN04965936_REFG_MMP04965936",0,0,0,1
"MARD_SAMN02436137_REFG_MMP02436137",1,0,0,1
"MARD_SAMN02436225_REFG_MMP02436225",0,0,0,1
"MARD_SAMEA104692609_REFG_MMP104692609",0,0,0,1
"MARD_SAMN05421511_REFG_MMP05421511",0,0,0,1
"MARD_SAMN09989089_REFG_MMP09989089",1,0,0,1
"MARD_SAMN08918503_REFG_MMP08918503",1,0,0,1
"MARD_SAMN02745781_REFG_MMP02745781",0,0,0,1
"MARD_SAMN05444141_REFG_MMP05444141",0,0,0,1
"MARD_SAMN05444484_REFG_MMP05444484",0,0,1,1
"MARD_SAMN09522150_REFG_MMP09522150",0,0,1,1
"MARD_SAMN05444365_REFG_MMP05444365",0,0,0,1
"MARD_SAMN08568348_REFG_MMP08568348",1,0,1,1
"MALA_SAMN05422120_METAG_PCCIOILD",0,0,0,0
"TARA_SAMEA4396941_METAG_AOBPNINP",0,0,1,1
"TARA_SAMEA4397666_METAG_MHPADDOO",0,0,1,1
"TARA_SAMEA4397586_METAG_OLNPJHKL",0,0,1,1
"TARA_SAMEA4397920_METAG_NHFLOOAL",0,0,1,1
"TARA_SAMEA4397118_METAG_AANKMKOK",0,0,0,1
"TARA_SAMEA2622801_METAG_JBCDELJO",0,0,1,1
"TARA_SAMEA2623135_METAG_GANIGMCO",0,0,0,1
"TARA_SAMEA2621779_METAG_BFIFFBPD",0,0,0,1
"TARA_SAMEA2621812_METAG_MOHOOAMM",1,0,0,1
"MALA_SAMN05422140_METAG_JIDOJPBB",1,0,0,1
"TARA_SAMN05326645_METAG_PSE00010",0,0,0,1
"TARA_SAMN05326646_METAG_PSW00020",0,0,1,1
"MARD_SAMN09245781_REFG_MMP09245781",0,0,1,1
"MARD_SAMN07424250_REFG_MMP07424250",1,0,1,1
"MARD_SAMN08225564_REFG_MMP08225564",0,0,0,1
"MARD_SAMN08886618_SAGS_MMP08886618",1,0,0,1
"MARD_SAMEA4034450_REFG_MMP4034450",0,0,1,1
"MARD_SAMN02745724_REFG_MMP02745724",0,0,1,1
"MARD_SAMN03084138_REFG_MMP03084138",0,0,0,1
"MARD_SAMN04957307_REFG_MMP04957307",0,0,0,1
"MARD_SAMN05818643_REFG_MMP05818643",1,0,0,1
"MARD_SAMN02436112_REFG_MMP02436112",0,0,1,1
"MARD_SAMN02436160_REFG_MMP02436160",1,0,0,1
"MARD_SAMN06265352_REFG_MMP06265352",0,0,0,1
"MARD_SAMN08783578_REFG_MMP08783578",1,0,0,1
"MARD_SAMN08918501_REFG_MMP08918501",1,0,0,1
"MARD_SAMN09932323_REFG_MMP09932323",1,0,0,1
"MARD_SAMN10134656_REFG_MMP10134656",0,0,0,1
"MARD_SAMN09273368_REFG_MMP09273368",0,0,0,1
"MARD_SAMN10231958_REFG_MMP10231958",0,0,1,1
"MARD_SAMN10231959_REFG_MMP10231959",0,0,1,1
"MARD_SAMN05444149_REFG_MMP05444149",1,0,0,1
"MARD_SAMEA3522225_REFG_MMP3522225",0,0,0,1
"MARD_SAMN09684733_REFG_MMP09684733",1,0,0,1
"MARD_SAMN09989090_REFG_MMP09989090",0,0,0,1
"MARD_SAMN04488239_REFG_MMP04488239",0,0,0,1
"MARD_SAMN05418027_REFG_MMP05418027",0,0,0,1
"MARD_SAMN05418031_REFG_MMP05418031",0,0,0,1
"MARD_SAMN05418073_REFG_MMP05418073",0,0,0,1
"MARD_SAMN08324238_REFG_MMP08324238",0,0,1,1
"MARD_SAMN08912470_REFG_MMP08912470",1,0,0,1
"TARA_SAMEA4396941_METAG_IJEMMHFI",0,0,0,1
"TARA_SAMEA4396941_METAG_CLEKMJLB",0,0,0,1
"TARA_SAMEA4397174_METAG_EGMDODDO",0,0,0,1
"TARA_SAMEA2622843_METAG_BIKJDDKO",0,0,0,1
"TARA_SAMEA4396489_METAG_KKGDMKHA",1,0,1,1
"TARA_SAMEA4397295_METAG_NFMMNHJF",1,0,1,1
"TARA_SAMEA4397295_METAG_PFKAPFFD",0,0,1,1
"TARA_SAMEA2621107_METAG_NAIODLKO",0,0,0,1
"TARA_SAMEA4397409_METAG_LIEEABDB",0,0,0,1
"TARA_SAMEA4396515_METAG_COJOLNON",0,0,1,1
"TARA_SAMEA2619815_METAG_NCFDDDLL",0,0,0,1
"TARA_SAMEA2623403_METAG_OKECKDIK",0,0,0,1
"TARA_SAMEA4397023_METAG_NKKALNMO",0,0,1,1
"TARA_SAMEA4397536_METAG_KCPGCKGA",1,0,0,1
"TARA_SAMEA4397536_METAG_DNIJMCBI",0,0,1,1
"TARA_SAMEA2620227_METAG_PONKEPAI",0,0,0,1
"TARA_SAMEA4397051_METAG_BDIOPMOI",0,0,1,1
"TARA_SAMEA2620812_METAG_HIEKJCAB",0,0,0,1
"TARA_SAMEA4398360_METAG_MKMJPMHD",0,0,1,1
"TARA_SAMEA2622738_METAG_EAPOPCAE",0,0,0,1
"TARA_SAMEA4398432_METAG_IFLIFCAK",1,0,0,1
"TARA_SAMEA4398432_METAG_EGCBDMCB",0,0,1,1
"TARA_SAMEA4397586_METAG_MLANKLIE",0,0,0,1
"TARA_SAMEA2620967_METAG_GMOMFAHB",0,0,0,1
"TARA_SAMEA2621502_METAG_LEDOHCBM",0,0,0,1
"TARA_SAMEA4396988_METAG_MGOBBFJM",0,0,1,1
"TARA_SAMEA2621191_METAG_JOABIJEI",0,0,0,1
"TARA_SAMEA4397118_METAG_BHLMNNKI",0,0,1,1
"TARA_SAMEA2623327_METAG_OLEOKFCD",1,0,0,1
"TARA_SAMEA2623327_METAG_CFOJFPKH",0,0,0,1
"TARA_SAMEA4397255_METAG_PFEJDDLC",0,0,1,1
"TARA_SAMEA4398001_METAG_BPLHNGEK",0,0,1,1
"TARA_SAMEA4397747_METAG_KPKGLEOG",1,0,0,1
"TARA_SAMEA2621075_METAG_HPFDGDJD",0,0,0,1
"TARA_SAMEA2622801_METAG_LKEPJGOM",0,0,0,0
"TARA_SAMEA2623463_METAG_GNOAPNFG",0,0,0,1
"TARA_SAMEA2622923_METAG_DNGLHAAI",0,0,1,1
"TARA_SAMEA2621812_METAG_MDDNJKEB",0,0,0,1
"TARA_SAMEA2623350_METAG_CMMNJGMG",0,0,0,1
"BGEO_SAMN07136582_METAG_BIALDHBO",0,0,0,1
"BGEO_SAMN07136617_METAG_FKHCGNDB",0,0,0,1
"BGEO_SAMN07136489_METAG_APEOGMHC",0,0,0,1
"MALA_SAMN05422133_METAG_MPCMMFBL",0,0,0,1
"MALA_SAMN05422148_METAG_IFLPOAIP",0,0,0,1
"MALA_SAMN05422120_METAG_DPNIGCJC",0,0,0,1
"MALA_SAMN05422113_METAG_GJFPJHHK",0,0,0,1
"TARA_SAMN05326646_METAG_PSW00026",0,0,1,1
"TARA_SAMN05326648_METAG_IOS00013",0,0,1,1
"TARA_SAMN05326641_METAG_ANW00019",0,0,0,1
"MARD_SAMN08886394_SAGS_MMP08886394",1,0,0,1
"MARD_SAMN09510546_REFG_MMP09510546",0,0,1,1
"MARD_SAMN06644953_REFG_MMP06644953",0,0,0,1
"MARD_SAMN08378603_REFG_MMP08378603",0,0,1,1
"MARD_SAMN08886582_SAGS_MMP08886582",1,0,0,1
"MARD_SAMN08886585_SAGS_MMP08886585",1,0,0,1
"MARD_SAMN08886603_SAGS_MMP08886603",1,0,0,0
"MARD_SAMN08886659_SAGS_MMP08886659",1,0,0,1
"MARD_SAMN08944605_REFG_MMP08944605",0,0,0,1
"MARD_SAMN04965930_REFG_MMP04965930",0,0,0,1
"MARD_SAMN04965932_REFG_MMP04965932",1,0,1,1
"MARD_SAMN04965934_REFG_MMP04965934",0,0,0,1
"MARD_SAMD00000390_REFG_MMP00000390",1,0,0,1
"MARD_SAMD00006053_REFG_MMP00006053",1,0,0,1
"MARD_SAMN02436139_REFG_MMP02436139",1,0,0,1
"MARD_SAMN02436141_REFG_MMP02436141",1,0,1,1
"MARD_SAMN02436150_REFG_MMP02436150",0,0,0,1
"MARD_SAMN02436154_REFG_MMP02436154",1,0,0,1
"MARD_SAMN06265372_REFG_MMP06265372",0,0,0,1
"MARD_SAMN09721247_REFG_MMP09721247",0,0,1,1
"MARD_SAMN09914392_REFG_MMP09914392",0,0,0,1
"MARD_SAMN10130764_REFG_MMP10130764",0,0,0,1
"MARD_SAMD00112194_REFG_MMP00112194",0,0,0,1
"MARD_SAMN02927983_REFG_MMP02927983",0,0,0,1
"MARD_SAMN09245960_REFG_MMP09245960",0,0,1,1
"MARD_SAMN09517646_REFG_MMP09517646",0,0,0,1
"MARD_SAMN09522134_REFG_MMP09522134",0,0,0,1
"MARD_SAMN09637267_REFG_MMP09637267",0,0,1,1
"MARD_SAMN10172232_REFG_MMP10172232",0,0,0,1
"MARD_SAMEA4520406_REFG_MMP4520406",0,0,0,1
"MARD_SAMEA4520407_REFG_MMP4520407",0,0,0,1
"MARD_SAMEA4520408_REFG_MMP4520408",0,0,0,1
"MARD_SAMEA4520409_REFG_MMP4520409",0,0,0,1
"MARD_SAMEA4520411_REFG_MMP4520411",0,0,0,1
"MARD_SAMEA4520413_REFG_MMP4520413",0,0,0,1
"MARD_SAMEA4520414_REFG_MMP4520414",0,0,0,1
"MARD_SAMEA4520415_REFG_MMP4520415",0,0,0,1
"MARD_SAMEA4520416_REFG_MMP4520416",0,0,0,1
"MARD_SAMEA4520417_REFG_MMP4520417",0,0,0,1
"MARD_SAMN02927921_REFG_MMP02927921",0,0,1,1
"MARD_SAMN04488092_REFG_MMP04488092",0,0,1,1
"MARD_SAMN04488125_REFG_MMP04488125",0,0,1,1
"MARD_SAMN05421798_REFG_MMP05421798",0,0,0,1
"MARD_SAMD00025187_REFG_MMP00025187",0,0,0,1
"MARD_SAMEA3492688_REFG_MMP3492688",1,0,0,1
"MARD_SAMEA3528420_REFG_MMP3528420",0,0,0,1
"MARD_SAMN04487931_REFG_MMP04487931",0,0,1,0
"MARD_SAMN04488105_REFG_MMP04488105",1,0,1,1
"MARD_SAMN08028457_REFG_MMP08028457",0,0,0,1
"MARD_SAMN08295361_REFG_MMP08295361",0,0,0,1
"MARD_SAMN09433089_REFG_MMP09433089",0,0,1,0
"TARA_SAMEA4396941_METAG_MJIEMEAA",1,0,0,1
"TARA_SAMEA4397174_METAG_GINJNJCP",0,0,0,1
"TARA_SAMEA4397174_METAG_MGPGDCBD",0,0,1,1
"TARA_SAMEA2620039_METAG_CCAPJDHN",0,0,0,1
"TARA_SAMEA4397295_METAG_PBBIIDLA",0,0,1,1
"TARA_SAMEA4397363_METAG_PBPMNFIH",0,0,1,1
"TARA_SAMEA4397409_METAG_FMHAPBDF",0,0,0,1
"TARA_SAMEA4396515_METAG_IJHFFIED",1,0,0,1
"TARA_SAMEA4396515_METAG_LHKCPCKJ",0,0,0,1
"TARA_SAMEA2623403_METAG_HIFICGCL",0,0,1,1
"TARA_SAMEA2623403_METAG_MFMFELKN",0,0,0,1
"TARA_SAMEA4398027_METAG_AOHLBNMG",1,0,0,1
"TARA_SAMEA2622517_METAG_NJDIAMMF",0,0,0,1
"TARA_SAMEA2621101_METAG_KHHLCHNL",0,0,1,1
"TARA_SAMEA2620925_METAG_LACPPFDI",0,0,0,1
"TARA_SAMEA4398238_METAG_KPHFHLOE",0,0,0,1
"TARA_SAMEA4398238_METAG_PDLBAELO",0,0,1,1
"TARA_SAMEA4397023_METAG_GNKOCKOD",0,0,0,1
"TARA_SAMEA4398387_METAG_LABGGNAJ",0,0,0,1
"TARA_SAMEA4398387_METAG_FIKBKBJM",0,0,1,1
"TARA_SAMEA4397536_METAG_MBMFBPNN",0,0,0,1
"TARA_SAMEA2622765_METAG_MHBAPCGP",1,0,1,1
"TARA_SAMEA2621099_METAG_BFJFPEMJ",0,0,1,1
"TARA_SAMEA2622685_METAG_CBBIEAPL",0,0,0,1
"TARA_SAMEA4398360_METAG_HILDAENI",0,0,0,1
"TARA_SAMEA4398432_METAG_GFLEHPMN",1,0,1,1
"TARA_SAMEA4397330_METAG_IIKHBEIA",0,0,0,1
"TARA_SAMEA4397330_METAG_AJIEMPFL",0,0,0,1
"TARA_SAMEA4397586_METAG_KPHCJDEI",0,0,1,1
"TARA_SAMEA4397586_METAG_FEGGIBBE",0,0,0,1
"TARA_SAMEA4397586_METAG_PDHHONHK",0,0,1,1
"TARA_SAMEA2622696_METAG_PAAHHAHJ",0,0,0,1
"TARA_SAMEA4397489_METAG_JLGMJFPL",0,0,0,1
"TARA_SAMEA4397489_METAG_HFBDHIIA",0,0,1,1
"TARA_SAMEA4397489_METAG_MIEMHBCL",0,0,0,1
"TARA_SAMEA4397489_METAG_KFLMDJEI",0,0,0,1
"TARA_SAMEA4397489_METAG_KHFCPKOF",0,0,0,1
"TARA_SAMEA4397489_METAG_JCLJMEBD",0,0,1,1
"TARA_SAMEA2620967_METAG_NCJGICMF",0,0,0,1
"TARA_SAMEA4396988_METAG_PNLKKADL",0,0,0,1
"TARA_SAMEA2621191_METAG_GKKNNIBB",0,0,0,1
"TARA_SAMEA4397445_METAG_NOEMMHCB",0,0,0,1
"TARA_SAMEA4397445_METAG_ENGAADBB",0,0,1,1
"TARA_SAMEA4398315_METAG_BPOJMCNG",1,0,0,1
"TARA_SAMEA4398315_METAG_ILCENHEJ",0,0,0,1
"TARA_SAMEA4397118_METAG_EKOAFJME",0,0,0,1
"TARA_SAMEA4397118_METAG_KDDGJDGN",0,0,0,1
"TARA_SAMEA2621300_METAG_EKFPEFJE",0,0,0,1
"TARA_SAMEA4397859_METAG_GLPLBGPK",0,0,1,1
"TARA_SAMEA2619677_METAG_CHAHPNEN",0,0,0,1
"TARA_SAMEA4397215_METAG_GIHILDFN",0,0,0,1
"TARA_SAMEA4397215_METAG_IFBFPIAA",0,0,0,1
"TARA_SAMEA2621247_METAG_OMELJKJA",0,0,0,1
"TARA_SAMEA2621247_METAG_ILHOMMDB",0,0,1,1
"TARA_SAMEA2623907_METAG_FJIGGKKP",0,0,0,1
"TARA_SAMEA2623446_METAG_CAGACCPM",0,0,0,1
"TARA_SAMEA2591098_METAG_EJOBFJID",1,0,0,1
"TARA_SAMEA2622796_METAG_OHBOBOCA",0,0,1,1
"TARA_SAMEA2621092_METAG_PJABGEBM",0,0,0,1
"TARA_SAMEA2619782_METAG_OHIHNNLJ",1,0,0,1
"TARA_SAMEA4396496_METAG_ILGMJFMP",0,0,0,1
"TARA_SAMEA4397983_METAG_JCMDONEC",0,0,0,1
"BGEO_SAMN07136483_METAG_CEMEACFK",0,0,0,1
"BGEO_SAMN07136945_METAG_HMPKJKPH",1,0,0,1
"BGEO_SAMN07136900_METAG_NDDKEADO",1,0,1,1
"MALA_SAMN05422136_METAG_DBKFPAHM",0,0,0,1
"MALA_SAMN05422140_METAG_DOCADGDO",0,0,1,1
"MALA_SAMN05422104_METAG_HGLFHJJK",0,0,0,1
"MALA_SAMN05422149_METAG_CFOFNMIM",0,0,1,1
"MALA_SAMN05422195_METAG_GOAGNGHJ",0,0,1,1
"MALA_SAMN05422133_METAG_LICJKDFC",0,0,1,1
"MALA_SAMN05422133_METAG_KFHCJPLA",1,0,1,1
"MALA_SAMN05422120_METAG_IFLJGABO",0,0,1,1
"MALA_SAMN05422108_METAG_GKBEANEL",0,0,0,1
"MARD_SAMN08131153_REFG_MMP08131153",0,0,0,1
"MARD_SAMN09228017_REFG_MMP09228017",0,0,0,1
"MARD_SAMN08122818_REFG_MMP08122818",0,0,0,1
"MARD_SAMN08886580_SAGS_MMP08886580",1,0,0,1
"MARD_SAMN08886601_SAGS_MMP08886601",0,0,0,1
"MARD_SAMN08886606_SAGS_MMP08886606",1,0,0,1
"MARD_SAMN09509804_REFG_MMP09509804",0,0,0,1
"MARD_SAMN03080615_REFG_MMP03080615",0,0,1,1
"MARD_SAMN04390147_REFG_MMP04390147",1,0,0,1
"MARD_SAMN04589240_REFG_MMP04589240",1,0,0,1
"MARD_SAMN05526266_REFG_MMP05526266",1,0,0,1
"MARD_SAMN05660649_REFG_MMP05660649",0,0,1,1
"MARD_SAMD00036655_REFG_MMP00036655",0,0,0,1
"MARD_SAMD00036665_REFG_MMP00036665",0,0,0,1
"MARD_SAMD00000021_REFG_MMP00000021",1,0,0,1
"MARD_SAMD00028746_REFG_MMP00028746",1,0,0,1
"MARD_SAMD00041797_REFG_MMP00041797",0,0,0,1
"MARD_SAMN02436084_REFG_MMP02436084",1,0,0,1
"MARD_SAMN02436085_REFG_MMP02436085",1,0,0,1
