,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,Subpathway7,Subpathway8,MaxCompletion,Group,Completion,Type
MARD_SAMN09786811_REFG_MMP09786811,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.64,RefGenome
MARD_SAMN03999371_REFG_MMP03999371,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.64,RefGenome
MARD_SAMN10276034_REFG_MMP10276034,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,95.76,RefGenome
TARA_SAMEA2621033_METAG_KKHCHOLN,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Bacteria-Other,94.98,MAG
MARD_SAMN07811444_REFG_MMP07811444,0,1,1,0,1,1,0,1,1,0.5,0.5,1,0.75,1,1,0.333333333333333,0.666666666666667,1,Actinobacteriota,99.58,RefGenome
MARD_SAMN04488481_REFG_MMP04488481,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.38,RefGenome
MALA_SAMN05422113_METAG_MLBGOJNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,95.99,MAG
TARA_SAMEA2623477_METAG_GIEMLDKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,88.44,MAG
MARD_SAMN08886631_SAGS_MMP08886631,1,0,1,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.75,0.333333333333333,0.333333333333333,0.75,Cyano-Syn,65.46,SAG
MARD_SAMN04487806_REFG_MMP04487806,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.25,RefGenome
MALA_SAMN05421555_METAG_BIOJCFAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623741_METAG_DLKGCKBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623601_METAG_PIAMPJPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MARD_SAMN04026262_REFG_MMP04026262,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.42,RefGenome
MARD_SAMN05216266_REFG_MMP05216266,0,1,0,0,1,1,0,0,1,0.25,0.5,0.75,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.28,RefGenome
MARD_SAMN05421803_REFG_MMP05421803,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422175_METAG_BBPNIOOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MALA_SAMN05422140_METAG_ICPPLJGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,86.78,MAG
MALA_SAMN05422137_METAG_HLLJDLBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2622119_METAG_JEJNGPMI,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Alpha-Other,88.64,MAG
TARA_SAMN05326645_METAG_PSE00016,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Alpha-Other,99.26,MAG
MARD_SAMN04026261_REFG_MMP04026261,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.24,RefGenome
MARD_SAMD00017647_REFG_MMP00017647,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99,RefGenome
MARD_SAMN04495211_REFG_MMP04495211,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.62,RefGenome
MARD_SAMN09786826_REFG_MMP09786826,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.64,RefGenome
MARD_SAMN05216284_REFG_MMP05216284,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.28,RefGenome
MARD_SAMN03729480_REFG_MMP03729480,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422175_METAG_JCAGPLKC,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422140_METAG_KDGIOPII,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422189_METAG_KDFHKFLA,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422133_METAG_FOGKKEHN,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05421913_METAG_LICMHBMD,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.34,MAG
MALA_SAMN05422120_METAG_CMDEFOFJ,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422113_METAG_HCMEOPMD,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422165_METAG_CHJKKJPH,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05421555_METAG_IJMJPABA,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05421697_METAG_LIEFMPLO,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.18,MAG
MALA_SAMN05422153_METAG_ANPKIMNM,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MALA_SAMN05422137_METAG_DPJCFKJG,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.34,MAG
MALA_SAMN05422127_METAG_BMMMIACD,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.38,MAG
MARD_SAMN05897984_REFG_MMP05897984,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.03,RefGenome
MARD_SAMEA2271987_REFG_MMP2271987,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.06,RefGenome
MARD_SAMN05897974_REFG_MMP05897974,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.28,RefGenome
MARD_SAMN02470933_REFG_MMP02470933,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Firmicutes,99.51,RefGenome
MALA_SAMN05422115_METAG_ECLHGDNH,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,98.47,MAG
MARD_SAMN05017772_REFG_MMP05017772,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,97.06,RefGenome
MARD_SAMEA3297057_REFG_MMP3297057,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.42,RefGenome
MARD_SAMEA4707922_REFG_MMP4707922,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,99.73,RefGenome
MARD_SAMN05792885_REFG_MMP05792885,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.64,RefGenome
TARA_SAMEA2620672_METAG_ILIJGAAN,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,73.06,MAG
MALA_SAMN05422148_METAG_CKCFHHDP,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0.25,0,0,0.5,Actinobacteriota,96.3,MAG
MALA_SAMN05421697_METAG_FKHHNDDA,0,1,0,0,1,1,0,0,0,0.25,0.25,0.75,0.25,0.75,0.5,0,0,0.75,Bacteria-Other,93.32,MAG
TARA_SAMN05326645_METAG_PSE00037,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0.25,0,0,0.5,Planctomycetota,94.52,MAG
MARD_SAMN07311721_REFG_MMP07311721,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.64,RefGenome
MARD_SAMN05897979_REFG_MMP05897979,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897987_REFG_MMP05897987,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897988_REFG_MMP05897988,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.03,RefGenome
MARD_SAMN05898003_REFG_MMP05898003,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.03,RefGenome
MARD_SAMN05444487_REFG_MMP05444487,0,0,1,0,1,1,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0,0.333333333333333,0.75,Firmicutes,99.62,RefGenome
TARA_SAMN05326641_METAG_ANW00068,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,72.1,MAG
MARD_SAMN05897977_REFG_MMP05897977,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.54,RefGenome
MARD_SAMEA3146264_REFG_MMP3146264,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Bacteria-Other,97.99,RefGenome
MARD_SAMEA3146263_REFG_MMP3146263,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Bacteria-Other,99.48,RefGenome
MARD_SAMN08384890_REFG_MMP08384890,1,0,1,0,1,1,0,1,1,0.75,0.75,0.75,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Other,98.86,RefGenome
MARD_SAMD00046775_REFG_MMP00046775,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.32,RefGenome
MARD_SAMN04999933_REFG_MMP04999933,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,99.78,RefGenome
MARD_SAMN05421806_REFG_MMP05421806,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.94,RefGenome
TARA_SAMEA2623054_METAG_OCMKBGHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,94.3,MAG
TARA_SAMEA2623477_METAG_OKOGOBFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,97.4,MAG
TARA_SAMEA2623601_METAG_LGBFILLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,97.64,MAG
TARA_SAMEA2622658_METAG_CHOAGAJB,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,89.96,MAG
TARA_SAMEA2623673_METAG_INBBCOBA,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,96.96,MAG
TARA_SAMEA2622119_METAG_PPKCDGLG,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0.25,0,0,0.5,Planctomycetota,93.36,MAG
MALA_SAMN05422189_METAG_HFLHJDGN,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Bacteria-Other,88.02,MAG
MALA_SAMN05422147_METAG_DIMFAPIO,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Actinobacteriota,92.68,MAG
MARD_SAMD00056695_REFG_MMP00056695,0,1,0,0,1,1,0,0,1,0.25,0.5,0.75,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.97,RefGenome
MARD_SAMN05375008_REFG_MMP05375008,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0.25,0.5,0,0.333333333333333,0.5,Firmicutes,99.9,RefGenome
MARD_SAMN05897982_REFG_MMP05897982,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.2,RefGenome
MARD_SAMEA3146296_REFG_MMP3146296,1,0,1,0,0,1,0,0,0,0.5,0.5,0.25,0.5,0.25,0.5,0.333333333333333,0.333333333333333,0.5,Bacteria-Other,99.2,RefGenome
MARD_SAMN02436107_REFG_MMP02436107,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,99.86,RefGenome
MARD_SAMN09041732_REFG_MMP09041732,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Firmicutes,99,RefGenome
MARD_SAMN08979296_REFG_MMP08979296,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99,RefGenome
MARD_SAMN08979297_REFG_MMP08979297,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99,RefGenome
MARD_SAMN09389114_REFG_MMP09389114,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0.25,0.5,0,0.333333333333333,0.5,Firmicutes,99.12,RefGenome
MARD_SAMN04488031_REFG_MMP04488031,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0.25,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,99.19,RefGenome
MARD_SAMN02470762_REFG_MMP02470762,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,99.5,RefGenome
TARA_SAMEA2622843_METAG_HAMAJGDK,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,97.24,MAG
TARA_SAMEA2622710_METAG_DGMLDIHH,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,98.9,MAG
TARA_SAMEA2622119_METAG_PIMPAEMO,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,97.74,MAG
TARA_SAMEA2623756_METAG_CHDMOBPJ,0,1,0,0,1,1,0,0,0,0.25,0.25,0.75,0.25,0.75,0.5,0,0,0.75,Bacteria-Other,98.02,MAG
TARA_SAMEA2622901_METAG_ONLLOMFJ,1,1,0,0,1,1,0,1,0,0.75,0.5,1,0.25,0.75,0.5,0.333333333333333,0,1,Bacteria-Other,96.68,MAG
TARA_SAMEA2623350_METAG_DDHLMPBK,1,1,0,0,1,1,0,1,0,0.75,0.5,1,0.25,0.75,0.5,0.333333333333333,0,1,Bacteria-Other,96.68,MAG
MALA_SAMN05422160_METAG_ANLEPEDM,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,77.97,MAG
TARA_SAMN05326644_METAG_PON00013,1,1,0,0,1,1,0,1,0,0.75,0.5,1,0.25,0.75,0.5,0.333333333333333,0,1,Bacteria-Other,96.68,MAG
TARA_SAMN05326641_METAG_ANW00006,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,98.27,MAG
MARD_SAMN09245787_REFG_MMP09245787,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,100,RefGenome
MARD_SAMEA18850168_REFG_MMP18850168,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,96.32,RefGenome
MARD_SAMN05408344_REFG_MMP05408344,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,99.98,RefGenome
MARD_SAMN02261354_REFG_MMP02261354,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,99.89,RefGenome
MARD_SAMN10231957_REFG_MMP10231957,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,100,RefGenome
MARD_SAMN05728473_REFG_MMP05728473,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Bacteroidota,99.1,RefGenome
MARD_SAMN05687755_REFG_MMP05687755,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,99.58,RefGenome
TARA_SAMEA2730749_METAG_OLPPLKCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,96.92,MAG
TARA_SAMEA2623859_METAG_BABDCONI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,85.6,MAG
TARA_SAMEA4397666_METAG_KIBCBFEH,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,95.87,MAG
TARA_SAMEA2622765_METAG_MAMIPFJC,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,98.53,MAG
TARA_SAMEA2622716_METAG_HLCJJFFL,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,99.08,MAG
TARA_SAMEA2622823_METAG_INOAMIGG,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,98.9,MAG
MALA_SAMN05422170_METAG_EDLGNPJL,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,87.23,MAG
TARA_SAMN05326646_METAG_PSW00017,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,98.4,MAG
MARD_SAMN05284051_REFG_MMP05284051,0,1,0,0,1,1,0,0,1,0.25,0.5,0.75,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.64,RefGenome
MARD_SAMN08886634_SAGS_MMP08886634,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,90.9,SAG
MARD_SAMD00000429_REFG_MMP00000429,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Alpha-Other,97.48,RefGenome
MARD_SAMEA3146324_REFG_MMP3146324,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Bacteria-Other,99.31,RefGenome
MARD_SAMN02261244_REFG_MMP02261244,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0.75,0.5,0,0,1,Gamma-Other,98.3,RefGenome
MARD_SAMN02441415_REFG_MMP02441415,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Bacteria-Other,99.51,RefGenome
MARD_SAMN09920664_REFG_MMP09920664,0,0,1,0,1,1,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0,0.333333333333333,0.75,Firmicutes,99.59,RefGenome
MARD_SAMN08979298_REFG_MMP08979298,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,98.1,RefGenome
TARA_SAMEA4398387_METAG_JJNBKCLE,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0,0.5,0.25,0,0,0.75,Gamma-Other,96.62,MAG
TARA_SAMEA4398360_METAG_PDKANFIF,0,0,0,0,1,0,0,1,0,0.25,0,0.5,0,0.25,0.25,0,0,0.5,Gamma-Other,79.65,MAG
TARA_SAMEA4398001_METAG_ICBKCJOL,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0.25,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,72.46,MAG
TARA_SAMEA2623116_METAG_MLHPBBMM,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,95.54,MAG
TARA_SAMEA2622766_METAG_KENIBHCH,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.75,0,0.333333333333333,0.75,Gamma-Other,99.08,MAG
