V1	V2	V3	V4	V5	V6	V7	V8
22	*	TARA_SAMEA2622822_METAG-scaffold_11836-	K00003	278.03	308.6	3.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622822_METAG_HGAIBMDJ
23	*	TARA_SAMEA2619974_METAG-scaffold_68738-	K00003	278.03	352.5	1.7e-101	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619974_METAG_GECFEMGI
24	*	TARA_SAMEA2619974_METAG-scaffold_64038-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619974_METAG_DNKDJFKD
25	*	TARA_SAMEA2621222_METAG-scaffold_281-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621222_METAG_APBIOLEJ
26	*	TARA_SAMEA2621044_METAG-scaffold_25194-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621044_METAG_FCIEEFJH
27	*	TARA_SAMEA2623327_METAG-scaffold_3029-	K00003	278.03	317.4	7e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623327_METAG_NAKALCJH
28	*	TARA_SAMEA2621277_METAG-scaffold_13227-	K00003	278.03	296.9	1.1e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621277_METAG_DHOGOJDL
29	*	TARA_SAMEA2621021_METAG-scaffold_255-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621021_METAG_JPHGBBEF
30	*	TARA_SAMEA2621242_METAG-scaffold_12811-	K00003	278.03	313.4	1.2e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621242_METAG_FGEFEHDF
31	*	TARA_SAMEA2621242_METAG-scaffold_7367-	K00003	278.03	311.8	3.5e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621242_METAG_KCIFBCJK
32	*	TARA_SAMEA2622676_METAG-scaffold_8636-	K00003	278.03	318.5	3.3e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622676_METAG_MNLGHFKG
33	*	TARA_SAMEA2621075_METAG-scaffold_147-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621075_METAG_IKKHENNA
34	*	TARA_SAMEA2621045_METAG-scaffold_168-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621045_METAG_BEJFDEGC
35	*	TARA_SAMEA2620035_METAG-scaffold_527-	K00003	278.03	315	3.7e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620035_METAG_KAODMFOI
36	*	TARA_SAMEA2620035_METAG-scaffold_10049-	K00003	278.03	312.7	1.8e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620035_METAG_EPPMDGKI
37	*	TARA_SAMEA2620035_METAG-scaffold_15330-	K00003	278.03	318	4.5e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620035_METAG_FMIEAFLL
38	*	TARA_SAMEA2620815_METAG-scaffold_3409-	K00003	278.03	307.4	7.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620815_METAG_OKLGPCNP
39	*	TARA_SAMEA2621176_METAG-scaffold_1812-	K00003	278.03	309.2	2e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621176_METAG_MPFAFONL
40	*	TARA_SAMEA2621176_METAG-scaffold_1685-	K00003	278.03	308.1	4.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621176_METAG_NIELECNA
41	*	TARA_SAMEA2619857_METAG-scaffold_431-	K00003	278.03	314.5	5.2e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619857_METAG_PLNGJKPK
42	*	TARA_SAMEA2623907_METAG-scaffold_27014-	K00003	278.03	314.8	4.2e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623907_METAG_PCEINGMB
43	*	TARA_SAMEA2619907_METAG-scaffold_50330-	K00003	278.03	293.6	1.1e-83	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619907_METAG_BLCBMMAI
44	*	TARA_SAMEA2619907_METAG-scaffold_13751-	K00003	278.03	297.1	9.7e-85	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619907_METAG_FCFFGBKL
45	*	TARA_SAMEA2619907_METAG-scaffold_508-	K00003	278.03	309.7	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619907_METAG_KOFGFLMF
46	*	TARA_SAMEA2619907_METAG-scaffold_40949-	K00003	278.03	306.1	1.8e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619907_METAG_AOBELJDB
47	*	TARA_SAMEA2622733_METAG-scaffold_3120-	K00003	278.03	307.9	5e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622733_METAG_FAPCEBDL
48	*	TARA_SAMEA2622733_METAG-scaffold_31635-	K00003	278.03	295.8	2.4e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622733_METAG_KBMPHMHK
49	*	TARA_SAMEA2623774_METAG-scaffold_1850-	K00003	278.03	320.4	8.7e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623774_METAG_LJAFNIFN
50	*	TARA_SAMEA2623673_METAG-scaffold_308-	K00003	278.03	308.5	3.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623673_METAG_PJECNDIB
51	*	TARA_SAMEA2623673_METAG-scaffold_1744-	K00003	278.03	307.5	6.6e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623673_METAG_OHJFNMIE
52	*	TARA_SAMEA2623513_METAG-scaffold_19411-	K00003	278.03	309.4	1.8e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623513_METAG_PMFHJJHL
53	*	TARA_SAMEA2622149_METAG-scaffold_4229-	K00003	278.03	324	6.8e-93	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622149_METAG_AAEJBKAF
54	*	TARA_SAMEA2622149_METAG-scaffold_1969-	K00003	278.03	314	7.5e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622149_METAG_JEPKGHNL
55	*	TARA_SAMEA2622149_METAG-scaffold_3972-	K00003	278.03	321.4	4.1e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622149_METAG_MMEOGIPH
56	*	TARA_SAMEA2622149_METAG-scaffold_51277-	K00003	278.03	308.3	4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622149_METAG_JMBGEAKD
57	*	TARA_SAMEA2622149_METAG-scaffold_4951-	K00003	278.03	310.7	7.6e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622149_METAG_MFGJBKLI
58	*	TARA_SAMEA2621013_METAG-scaffold_792-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621013_METAG_JDGAFPJC
59	*	TARA_SAMEA2623155_METAG-scaffold_2329-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623155_METAG_JLHEDOBE
60	*	TARA_SAMEA2620666_METAG-scaffold_2707-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620666_METAG_COGOIPCB
61	*	TARA_SAMEA2622568_METAG-scaffold_179-	K00003	278.03	307.4	7.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622568_METAG_DOJKIAJF
62	*	TARA_SAMEA2622568_METAG-scaffold_1433-	K00003	278.03	308.1	4.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622568_METAG_FECFJJEB
63	*	TARA_SAMEA2622568_METAG-scaffold_2249-	K00003	278.03	314.7	4.7e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622568_METAG_NAEKHGCP
64	*	TARA_SAMEA2622568_METAG-scaffold_8095-	K00003	278.03	335.2	2.9e-96	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622568_METAG_OHMOJBNK
65	*	TARA_SAMEA2622568_METAG-scaffold_4422-	K00003	278.03	311.7	3.7e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622568_METAG_ENPANFIH
66	*	TARA_SAMEA2620995_METAG-scaffold_1791-	K00003	278.03	309.4	1.8e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620995_METAG_LDPOOHDG
67	*	TARA_SAMEA2619667_METAG-scaffold_8895-	K00003	278.03	318.5	3.2e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619667_METAG_LFGJBILP
68	*	TARA_SAMEA2622362_METAG-scaffold_1803-	K00003	278.03	309.3	2e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622362_METAG_ECEJPHCD
69	*	TARA_SAMEA2622362_METAG-scaffold_684-	K00003	278.03	306.8	1.1e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622362_METAG_IMGCBHFJ
70	*	TARA_SAMEA2622362_METAG-scaffold_21417-	K00003	278.03	311.9	3.2e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622362_METAG_LCJOLOCD
71	*	TARA_SAMEA2621232_METAG-scaffold_1241-	K00003	278.03	308.1	4.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621232_METAG_OFIAGHJH
72	*	TARA_SAMEA2621232_METAG-scaffold_3252-	K00003	278.03	314.7	4.7e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621232_METAG_PLNAJDND
73	*	TARA_SAMEA2621232_METAG-scaffold_2194-	K00003	278.03	311.8	3.5e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621232_METAG_FMLFBKMH
74	*	TARA_SAMEA2623390_METAG-scaffold_55-	K00003	278.03	350.3	8e-101	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_EHIPJHJE
75	*	TARA_SAMEA2623390_METAG-scaffold_5107-	K00003	278.03	429.9	6.3e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OEACLACH
76	*	TARA_SAMEA2623390_METAG-scaffold_5147-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_FLPPEPJJ
77	*	TARA_SAMEA2623390_METAG-scaffold_11484-	K00003	278.03	319.9	1.2e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_PNBNMIDO
78	*	TARA_SAMEA2619970_METAG-scaffold_1052-	K00003	278.03	315	3.7e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_ICCPPBJG
79	*	TARA_SAMEA2619970_METAG-scaffold_3053-	K00003	278.03	317	9.1e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_JFBHGPEN
80	*	TARA_SAMEA2619970_METAG-scaffold_42-	K00003	278.03	350.3	7.6e-101	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_FOJJJDJE
81	*	TARA_SAMEA2619970_METAG-scaffold_173-	K00003	278.03	312.7	1.8e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_DPGAKHOL
82	*	TARA_SAMEA2619970_METAG-scaffold_520-	K00003	278.03	322.1	2.6e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_EMLGDMDF
83	*	TARA_SAMEA2619970_METAG-scaffold_23462-	K00003	278.03	357.1	6.6e-103	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_FCBJNKBN
84	*	TARA_SAMEA2619970_METAG-scaffold_2472-	K00003	278.03	318	4.5e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_CMHMBNJG
85	*	TARA_SAMEA2620021_METAG-scaffold_691-	K00003	278.03	305.6	2.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620021_METAG_JNBBEMFP
86	*	TARA_SAMEA2591098_METAG-scaffold_5794-	K00003	278.03	316.8	1e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2591098_METAG_AKEKLNCA
87	*	TARA_SAMEA2622673_METAG-scaffold_2746-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622673_METAG_GCMBAFOL
88	*	TARA_SAMEA2622673_METAG-scaffold_25774-	K00003	278.03	287.1	1e-81	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622673_METAG_EDLOHCEN
89	*	TARA_SAMEA2619548_METAG-scaffold_9506-	K00003	278.03	318.6	3e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619548_METAG_EKHELPFN
90	*	TARA_SAMEA2621551_METAG-scaffold_3747-	K00003	278.03	311.7	3.7e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621551_METAG_ACFJIBPJ
91	*	TARA_SAMEA2621551_METAG-scaffold_16955-	K00003	278.03	308.1	4.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621551_METAG_DCPLBICC
92	*	TARA_SAMEA2623808_METAG-scaffold_2090-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623808_METAG_MABHOEKC
93	*	TARA_SAMEA2620929_METAG-scaffold_6657-	K00003	278.03	319.5	1.6e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620929_METAG_POMJIOIE
94	*	TARA_SAMEA2620929_METAG-scaffold_7284-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620929_METAG_ILNHKFBE
95	*	TARA_SAMEA2622796_METAG-scaffold_129-	K00003	278.03	295.8	2.4e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622796_METAG_NLGBEDMF
96	*	TARA_SAMEA2623886_METAG-scaffold_20058-	K00003	278.03	318.5	3.2e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623886_METAG_HAHLOJEE
97	*	TARA_SAMEA2621092_METAG-scaffold_6244-	K00003	278.03	332	2.6e-95	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621092_METAG_LFLIOBJH
98	*	TARA_SAMEA2622923_METAG-scaffold_5334-	K00003	278.03	305.6	2.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622923_METAG_KJLKPKBH
99	*	TARA_SAMEA2620217_METAG-scaffold_8592-	K00003	278.03	305.6	2.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620217_METAG_NBBLGHIN
100	*	TARA_SAMEA2622429_METAG-scaffold_203308-	K00003	278.03	285.4	3.2e-81	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622429_METAG_HIBBNGOD
101	*	TARA_SAMEA2622429_METAG-scaffold_1920-	K00003	278.03	306.8	1.1e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622429_METAG_FIHGBOJD
102	*	TARA_SAMEA2622429_METAG-scaffold_5192-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622429_METAG_GJECLEJK
103	*	TARA_SAMEA2620950_METAG-scaffold_118-	K00003	278.03	319.5	1.6e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620950_METAG_ONNDABDG
104	*	TARA_SAMEA2620950_METAG-scaffold_15708-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620950_METAG_PLFGMACN
105	*	TARA_SAMEA2621216_METAG-scaffold_561-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621216_METAG_MCCHOAAN
106	*	TARA_SAMEA2619879_METAG-scaffold_920-	K00003	278.03	314.5	5.2e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619879_METAG_INCHJECB
107	*	TARA_SAMEA2620259_METAG-scaffold_65-	K00003	278.03	305.6	2.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620259_METAG_NIAIBCJK
108	*	TARA_SAMEA2623756_METAG-scaffold_3124-	K00003	278.03	313.1	1.4e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_FAHBIDMO
109	*	TARA_SAMEA2623756_METAG-scaffold_967-	K00003	278.03	329.5	1.5e-94	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_BKKEJFNE
110	*	TARA_SAMEA2623756_METAG-scaffold_569-	K00003	278.03	312.9	1.6e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_OBGMLHED
111	*	TARA_SAMEA2623756_METAG-scaffold_5202-	K00003	278.03	299.4	1.9e-85	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_JEBCIHLL
112	*	TARA_SAMEA2623756_METAG-scaffold_807-	K00003	278.03	307.4	7.2e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_MHJPPADJ
113	*	TARA_SAMEA2623756_METAG-scaffold_2693-	K00003	278.03	308.5	3.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_LJCOLNNL
114	*	TARA_SAMEA2623756_METAG-scaffold_5203-	K00003	278.03	305.9	2.1e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_PGPGBLHL
115	*	TARA_SAMEA2623756_METAG-scaffold_22953-	K00003	278.03	307.5	7e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_MHPIOFPI
116	*	TARA_SAMEA2623756_METAG-scaffold_33904-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_KJPHNLDK
117	*	TARA_SAMEA2623756_METAG-scaffold_2940-	K00003	278.03	307.3	8.1e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623756_METAG_FFGMGBPP
118	*	TARA_SAMEA2623295_METAG-scaffold_4142-	K00003	278.03	324	6.8e-93	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_LKKBPDGM
119	*	TARA_SAMEA2623295_METAG-scaffold_1365-	K00003	278.03	314	7.5e-90	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_CKHNDCIE
120	*	TARA_SAMEA2623295_METAG-scaffold_15992-	K00003	278.03	310	1.2e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_GIBNGEGN
121	*	TARA_SAMEA2623295_METAG-scaffold_4862-	K00003	278.03	429.9	6.3e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_FMGPAHKH
122	*	TARA_SAMEA2623295_METAG-scaffold_1932-	K00003	278.03	322.7	1.7e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_GOJDOMIE
123	*	TARA_SAMEA2623295_METAG-scaffold_21383-	K00003	278.03	319.5	1.6e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623295_METAG_LALJFCIH
124	*	TARA_SAMEA2623314_METAG-scaffold_1191-	K00003	278.03	350.3	8e-101	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623314_METAG_CNHGABFC
125	*	TARA_SAMEA2623314_METAG-scaffold_3523-	K00003	278.03	429.9	6.3e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623314_METAG_AOGIDMAE
126	*	TARA_SAMEA2623314_METAG-scaffold_3819-	K00003	278.03	309.8	1.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623314_METAG_CMMKNBHI
127	*	TARA_SAMEA2623314_METAG-scaffold_5501-	K00003	278.03	312.7	1.8e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623314_METAG_OHINKPNJ
128	*	TARA_SAMEA2623826_METAG-scaffold_3193-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623826_METAG_ILEBEMMO
129	*	TARA_SAMEA2623868_METAG-scaffold_1939-	K00003	278.03	319.5	1.6e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623868_METAG_JDHJPLCP
130	*	TARA_SAMEA2623868_METAG-scaffold_7679-	K00003	278.03	308.5	3.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623868_METAG_LNDAOFGE
131	*	TARA_SAMEA2622499_METAG-scaffold_3737-	K00003	278.03	309.9	1.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622499_METAG_KCPGEEPB
132	*	TARA_SAMEA2622048_METAG-scaffold_2-	K00003	278.03	307.4	7.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622048_METAG_DPOIOJJN
133	*	TARA_SAMEA2622048_METAG-scaffold_1776-	K00003	278.03	309.9	1.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622048_METAG_EOMGEEAJ
134	*	TARA_SAMEA2621272_METAG-scaffold_26259-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621272_METAG_HCDMPENO
135	*	TARA_SAMEA2623649_METAG-scaffold_2102-	K00003	278.03	311.7	3.7e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623649_METAG_GFHIHCBB
136	*	TARA_SAMEA2623649_METAG-scaffold_14901-	K00003	278.03	306.6	1.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623649_METAG_DEANOMPO
137	*	TARA_SAMEA2623649_METAG-scaffold_17171-	K00003	278.03	320.5	8e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623649_METAG_NIBGHHAH
138	*	TARA_SAMEA2623649_METAG-scaffold_15066-	K00003	278.03	293.4	1.3e-83	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623649_METAG_IIIEBKEA
139	*	TARA_SAMEA2622837_METAG-scaffold_1342-	K00003	278.03	308.6	3.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622837_METAG_MANEOAIG
140	*	TARA_SAMEA2622837_METAG-scaffold_3584-	K00003	278.03	305.9	2.1e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622837_METAG_NBGNEKPI
141	*	TARA_SAMEA2622837_METAG-scaffold_30709-	K00003	278.03	307.9	5e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622837_METAG_FECCFJND
142	*	TARA_SAMEA2622837_METAG-scaffold_17789-	K00003	278.03	307.2	8.5e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622837_METAG_IMJPMOHL
