,Step1,Step2,Step3,Step4,Step5,Subpathway1,Subpathway2,MaxCompletion,Group,Completion,Type
MARD_SAMN10141419_REFG_MMP10141419,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,96.8,RefGenome
MARD_SAMD00129508_REFG_MMP00129508,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.34,RefGenome
MARD_SAMN09508719_REFG_MMP09508719,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.42,RefGenome
MARD_SAMN09786811_REFG_MMP09786811,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN03999371_REFG_MMP03999371,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN10276034_REFG_MMP10276034,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,95.76,RefGenome
TARA_SAMEA2621033_METAG_KKHCHOLN,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,94.98,MAG
MARD_SAMN07811444_REFG_MMP07811444,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.58,RefGenome
MARD_SAMN04488481_REFG_MMP04488481,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,RefGenome
MALA_SAMN05422113_METAG_MLBGOJNK,0,0,0,0,0,0,0,0,Bacteria-Other,95.99,MAG
TARA_SAMEA2623477_METAG_GIEMLDKG,0,0,0,0,0,0,0,0,Bacteria-Other,88.44,MAG
MARD_SAMN04487806_REFG_MMP04487806,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.25,RefGenome
MALA_SAMN05421555_METAG_BIOJCFAG,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623741_METAG_DLKGCKBM,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623601_METAG_PIAMPJPB,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MARD_SAMN04026262_REFG_MMP04026262,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.42,RefGenome
MARD_SAMN05216266_REFG_MMP05216266,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.28,RefGenome
MARD_SAMN05421803_REFG_MMP05421803,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422175_METAG_BBPNIOOI,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MALA_SAMN05422140_METAG_ICPPLJGM,0,0,0,0,0,0,0,0,Bacteria-Other,86.78,MAG
MALA_SAMN05422137_METAG_HLLJDLBE,0,0,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2622119_METAG_JEJNGPMI,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,88.64,MAG
TARA_SAMN05326645_METAG_PSE00016,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,99.26,MAG
MARD_SAMN04026261_REFG_MMP04026261,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.24,RefGenome
MARD_SAMD00017647_REFG_MMP00017647,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99,RefGenome
MARD_SAMN04495211_REFG_MMP04495211,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.62,RefGenome
MARD_SAMN09786826_REFG_MMP09786826,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN05216284_REFG_MMP05216284,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.28,RefGenome
MARD_SAMN03729480_REFG_MMP03729480,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422175_METAG_JCAGPLKC,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422140_METAG_KDGIOPII,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422189_METAG_KDFHKFLA,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422133_METAG_FOGKKEHN,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05421913_METAG_LICMHBMD,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.34,MAG
MALA_SAMN05422120_METAG_CMDEFOFJ,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422113_METAG_HCMEOPMD,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422165_METAG_CHJKKJPH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05421555_METAG_IJMJPABA,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05421697_METAG_LIEFMPLO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.18,MAG
MALA_SAMN05422153_METAG_ANPKIMNM,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MALA_SAMN05422137_METAG_DPJCFKJG,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.34,MAG
MALA_SAMN05422127_METAG_BMMMIACD,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.38,MAG
MARD_SAMN05897984_REFG_MMP05897984,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.03,RefGenome
MARD_SAMEA2271987_REFG_MMP2271987,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.06,RefGenome
MARD_SAMN05897974_REFG_MMP05897974,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.28,RefGenome
MARD_SAMN02470933_REFG_MMP02470933,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.51,RefGenome
MALA_SAMN05422115_METAG_ECLHGDNH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,98.47,MAG
MARD_SAMN05017772_REFG_MMP05017772,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,97.06,RefGenome
MARD_SAMEA3297057_REFG_MMP3297057,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.42,RefGenome
MARD_SAMEA4707922_REFG_MMP4707922,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,99.73,RefGenome
MARD_SAMN05792885_REFG_MMP05792885,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422148_METAG_CKCFHHDP,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,96.3,MAG
MALA_SAMN05421697_METAG_FKHHNDDA,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,93.32,MAG
TARA_SAMN05326645_METAG_PSE00037,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Planctomycetota,94.52,MAG
MARD_SAMN07311721_REFG_MMP07311721,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN05897979_REFG_MMP05897979,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897987_REFG_MMP05897987,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897988_REFG_MMP05897988,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.03,RefGenome
MARD_SAMN05898003_REFG_MMP05898003,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.03,RefGenome
MARD_SAMN05444487_REFG_MMP05444487,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Firmicutes,99.62,RefGenome
MARD_SAMN05897977_REFG_MMP05897977,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.54,RefGenome
MARD_SAMEA3146264_REFG_MMP3146264,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,97.99,RefGenome
MARD_SAMEA3146263_REFG_MMP3146263,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,99.48,RefGenome
MARD_SAMN08384890_REFG_MMP08384890,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Other,98.86,RefGenome
MARD_SAMD00046775_REFG_MMP00046775,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.32,RefGenome
MARD_SAMN04999933_REFG_MMP04999933,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.78,RefGenome
MARD_SAMN05421806_REFG_MMP05421806,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.94,RefGenome
TARA_SAMEA2623054_METAG_OCMKBGHM,0,0,0,0,0,0,0,0,Bacteria-Other,94.3,MAG
TARA_SAMEA2623477_METAG_OKOGOBFK,0,0,0,0,0,0,0,0,Bacteria-Other,97.4,MAG
TARA_SAMEA2623601_METAG_LGBFILLL,0,0,0,0,0,0,0,0,Bacteria-Other,97.64,MAG
TARA_SAMEA2622658_METAG_CHOAGAJB,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,89.96,MAG
TARA_SAMEA2623673_METAG_INBBCOBA,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,96.96,MAG
TARA_SAMEA2622119_METAG_PPKCDGLG,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Planctomycetota,93.36,MAG
MALA_SAMN05422189_METAG_HFLHJDGN,0,0,1,0,0,0.333333333333333,0,0.333333333333333,Bacteria-Other,88.02,MAG
MALA_SAMN05422147_METAG_DIMFAPIO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,92.68,MAG
MARD_SAMD00056695_REFG_MMP00056695,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.97,RefGenome
MARD_SAMN05375008_REFG_MMP05375008,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.9,RefGenome
MARD_SAMN05897982_REFG_MMP05897982,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.2,RefGenome
MARD_SAMEA3146296_REFG_MMP3146296,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,99.2,RefGenome
MARD_SAMN02436107_REFG_MMP02436107,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,99.86,RefGenome
MARD_SAMN09041732_REFG_MMP09041732,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99,RefGenome
MARD_SAMN08979296_REFG_MMP08979296,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99,RefGenome
MARD_SAMN08979297_REFG_MMP08979297,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99,RefGenome
MARD_SAMN09389114_REFG_MMP09389114,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.12,RefGenome
MARD_SAMN04488031_REFG_MMP04488031,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.19,RefGenome
MARD_SAMN02470762_REFG_MMP02470762,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.5,RefGenome
TARA_SAMEA2622843_METAG_HAMAJGDK,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,97.24,MAG
TARA_SAMEA2622710_METAG_DGMLDIHH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,98.9,MAG
TARA_SAMEA2622119_METAG_PIMPAEMO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,97.74,MAG
TARA_SAMEA2623756_METAG_CHDMOBPJ,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,98.02,MAG
TARA_SAMEA2622901_METAG_ONLLOMFJ,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,96.68,MAG
TARA_SAMEA2623350_METAG_DDHLMPBK,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,96.68,MAG
MALA_SAMN05422160_METAG_ANLEPEDM,0,0,0,0,0,0,0,0,Actinobacteriota,77.97,MAG
TARA_SAMN05326644_METAG_PON00013,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,96.68,MAG
TARA_SAMN05326641_METAG_ANW00006,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,98.27,MAG
MARD_SAMN09245787_REFG_MMP09245787,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,100,RefGenome
MARD_SAMEA18850168_REFG_MMP18850168,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,96.32,RefGenome
MARD_SAMN05408344_REFG_MMP05408344,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.98,RefGenome
MARD_SAMN02261354_REFG_MMP02261354,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Other,99.89,RefGenome
MARD_SAMN10231957_REFG_MMP10231957,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,100,RefGenome
MARD_SAMN05728473_REFG_MMP05728473,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteroidota,99.1,RefGenome
MARD_SAMN05687755_REFG_MMP05687755,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.58,RefGenome
TARA_SAMEA2730749_METAG_OLPPLKCL,0,0,0,0,0,0,0,0,Bacteria-Other,96.92,MAG
TARA_SAMEA2623859_METAG_BABDCONI,0,0,0,0,0,0,0,0,Bacteria-Other,85.6,MAG
TARA_SAMEA4397666_METAG_KIBCBFEH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,95.87,MAG
TARA_SAMEA2622765_METAG_MAMIPFJC,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,98.53,MAG
TARA_SAMEA2622716_METAG_HLCJJFFL,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,99.08,MAG
TARA_SAMEA2622823_METAG_INOAMIGG,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,98.9,MAG
MALA_SAMN05422170_METAG_EDLGNPJL,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Actinobacteriota,87.23,MAG
TARA_SAMN05326646_METAG_PSW00017,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,98.4,MAG
MARD_SAMN05284051_REFG_MMP05284051,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN08886634_SAGS_MMP08886634,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,90.9,SAG
MARD_SAMD00000429_REFG_MMP00000429,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,97.48,RefGenome
MARD_SAMEA3146324_REFG_MMP3146324,0,0,1,0,0,0.333333333333333,0,0.333333333333333,Bacteria-Other,99.31,RefGenome
MARD_SAMN02261244_REFG_MMP02261244,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,98.3,RefGenome
MARD_SAMN02441415_REFG_MMP02441415,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,99.51,RefGenome
MARD_SAMN09920664_REFG_MMP09920664,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.59,RefGenome
MARD_SAMN08979298_REFG_MMP08979298,0,0,1,0,0,0.333333333333333,0,0.333333333333333,Actinobacteriota,98.1,RefGenome
TARA_SAMEA4398387_METAG_JJNBKCLE,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,96.62,MAG
TARA_SAMEA4398360_METAG_PDKANFIF,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,79.65,MAG
TARA_SAMEA2623116_METAG_MLHPBBMM,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,95.54,MAG
TARA_SAMEA2622766_METAG_KENIBHCH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,99.08,MAG
MALA_SAMN05422140_METAG_DMBKAHMH,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,92.52,MAG
TARA_SAMN05326645_METAG_PSE00039,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,86.92,MAG
MARD_SAMN06140193_REFG_MMP06140193,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,99.47,RefGenome
MARD_SAMEA3872802_REFG_MMP3872802,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,100,RefGenome
MARD_SAMN02261341_REFG_MMP02261341,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Other,99.82,RefGenome
MARD_SAMN02436091_REFG_MMP02436091,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Other,98.93,RefGenome
MARD_SAMN02436130_REFG_MMP02436130,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteroidota,98.32,RefGenome
MARD_SAMN02436164_REFG_MMP02436164,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.44,RefGenome
MARD_SAMN08918410_REFG_MMP08918410,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.64,RefGenome
MARD_SAMEA4707923_REFG_MMP4707923,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,99.5,RefGenome
MARD_SAMD00053328_REFG_MMP00053328,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Firmicutes,99.86,RefGenome
MARD_SAMD00053329_REFG_MMP00053329,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.9,RefGenome
MARD_SAMN05216207_REFG_MMP05216207,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.7,RefGenome
MARD_SAMEA3872803_REFG_MMP3872803,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.64,RefGenome
MARD_SAMN02745681_REFG_MMP02745681,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,99.53,RefGenome
MARD_SAMN05421874_REFG_MMP05421874,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,98.63,RefGenome
TARA_SAMEA4398111_METAG_GFHMNJCF,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,98.39,MAG
TARA_SAMEA4398027_METAG_FDKLNHGC,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,92.37,MAG
TARA_SAMEA4398168_METAG_NGBJHDBI,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,92,MAG
TARA_SAMEA4397023_METAG_OPBOBABD,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,89.46,MAG
TARA_SAMEA4398387_METAG_OKGACJPI,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,92.95,MAG
TARA_SAMEA4397051_METAG_PCLNEFKO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.48,MAG
TARA_SAMEA2620666_METAG_OJMAHLBC,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,94.34,MAG
MALA_SAMN05422140_METAG_LOIBJDFA,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,98.94,MAG
MARD_SAMN08794446_REFG_MMP08794446,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,100,RefGenome
MARD_SAMN08886605_SAGS_MMP08886605,0,0,1,0,0,0.333333333333333,0,0.333333333333333,Cyano-Syn,81.24,SAG
MARD_SAMN04965936_REFG_MMP04965936,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.19,RefGenome
MARD_SAMN02436137_REFG_MMP02436137,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.64,RefGenome
MARD_SAMN02436225_REFG_MMP02436225,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.32,RefGenome
MARD_SAMEA104692609_REFG_MMP104692609,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.74,RefGenome
MARD_SAMN05421511_REFG_MMP05421511,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,100,RefGenome
MARD_SAMN09989089_REFG_MMP09989089,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,98.96,RefGenome
MARD_SAMN08918503_REFG_MMP08918503,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.48,RefGenome
MARD_SAMN02745781_REFG_MMP02745781,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,97.2,RefGenome
MARD_SAMN05444141_REFG_MMP05444141,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,100,RefGenome
MARD_SAMN05444484_REFG_MMP05444484,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteroidota,99.46,RefGenome
MARD_SAMN09522150_REFG_MMP09522150,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.04,RefGenome
MARD_SAMN05444365_REFG_MMP05444365,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.64,RefGenome
MARD_SAMN08568348_REFG_MMP08568348,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Firmicutes,99.8,RefGenome
MALA_SAMN05422120_METAG_PCCIOILD,0,0,0,0,0,0,0,0,Bacteria-Other,79.56,MAG
TARA_SAMEA4396941_METAG_AOBPNINP,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,78.3,MAG
TARA_SAMEA4397666_METAG_MHPADDOO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,86.69,MAG
TARA_SAMEA4397586_METAG_OLNPJHKL,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Verrucomicrobiota,97.14,MAG
TARA_SAMEA4397920_METAG_NHFLOOAL,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,92.17,MAG
TARA_SAMEA4397118_METAG_AANKMKOK,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Planctomycetota,97.43,MAG
TARA_SAMEA2622801_METAG_JBCDELJO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,96.72,MAG
TARA_SAMEA2623135_METAG_GANIGMCO,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteria-Other,89.11,MAG
TARA_SAMEA2621779_METAG_BFIFFBPD,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,92.2,MAG
TARA_SAMEA2621812_METAG_MOHOOAMM,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Cyano-Syn,92.92,MAG
MALA_SAMN05422140_METAG_JIDOJPBB,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,96.45,MAG
TARA_SAMN05326645_METAG_PSE00010,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,98.65,MAG
TARA_SAMN05326646_METAG_PSW00020,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,98.94,MAG
MARD_SAMN09245781_REFG_MMP09245781,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,100,RefGenome
MARD_SAMN07424250_REFG_MMP07424250,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,99.21,RefGenome
MARD_SAMN08225564_REFG_MMP08225564,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Gamma-Other,97.84,RefGenome
MARD_SAMEA4034450_REFG_MMP4034450,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Bacteroidota,99.45,RefGenome
MARD_SAMN02745724_REFG_MMP02745724,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,99.92,RefGenome
MARD_SAMN03084138_REFG_MMP03084138,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Gamma-Other,100,RefGenome
MARD_SAMN04957307_REFG_MMP04957307,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Rhodobacter,99.7,RefGenome
MARD_SAMN05818643_REFG_MMP05818643,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,98.24,RefGenome
MARD_SAMN02436112_REFG_MMP02436112,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Planctomycetota,97.59,RefGenome
MARD_SAMN02436160_REFG_MMP02436160,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,98.51,RefGenome
MARD_SAMN06265352_REFG_MMP06265352,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Alpha-Other,100,RefGenome
