,Step1,Step2,Step3,Subpathway1,Subpathway2,MaxCompletion,Group,Completion,Type
MALA_SAMN05422175_METAG_JCAGPLKC,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422140_METAG_KDGIOPII,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422189_METAG_KDFHKFLA,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422133_METAG_FOGKKEHN,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05421913_METAG_LICMHBMD,1,0,0,0.5,0,0.5,Actinobacteriota,99.34,MAG
MALA_SAMN05422120_METAG_CMDEFOFJ,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422113_METAG_HCMEOPMD,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422165_METAG_CHJKKJPH,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05421555_METAG_IJMJPABA,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05421697_METAG_LIEFMPLO,1,0,0,0.5,0,0.5,Actinobacteriota,99.18,MAG
MALA_SAMN05422153_METAG_ANPKIMNM,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MALA_SAMN05422137_METAG_DPJCFKJG,1,0,0,0.5,0,0.5,Actinobacteriota,99.34,MAG
MALA_SAMN05422127_METAG_BMMMIACD,1,0,0,0.5,0,0.5,Actinobacteriota,99.38,MAG
MARD_SAMN05897984_REFG_MMP05897984,1,0,0,0.5,0,0.5,Actinobacteriota,99.03,RefGenome
MARD_SAMEA2271987_REFG_MMP2271987,1,0,1,0.5,1,1,Actinobacteriota,99.06,RefGenome
MARD_SAMN05897974_REFG_MMP05897974,1,0,1,0.5,1,1,Actinobacteriota,99.28,RefGenome
MARD_SAMN02470933_REFG_MMP02470933,1,0,0,0.5,0,0.5,Firmicutes,99.51,RefGenome
MALA_SAMN05422115_METAG_ECLHGDNH,1,0,0,0.5,0,0.5,Actinobacteriota,98.47,MAG
MARD_SAMN05017772_REFG_MMP05017772,0,0,1,0,1,1,Actinobacteriota,97.06,RefGenome
MARD_SAMEA3297057_REFG_MMP3297057,0,0,1,0,1,1,Actinobacteriota,99.42,RefGenome
MARD_SAMEA4707922_REFG_MMP4707922,0,0,0,0,0,0,Cyano-Syn,99.73,RefGenome
MARD_SAMN05792885_REFG_MMP05792885,1,0,0,0.5,0,0.5,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422148_METAG_CKCFHHDP,1,0,0,0.5,0,0.5,Actinobacteriota,96.3,MAG
MALA_SAMN05421697_METAG_FKHHNDDA,1,0,0,0.5,0,0.5,Bacteria-Other,93.32,MAG
TARA_SAMN05326645_METAG_PSE00037,1,0,0,0.5,0,0.5,Planctomycetota,94.52,MAG
MARD_SAMN07311721_REFG_MMP07311721,1,0,1,0.5,1,1,Actinobacteriota,99.64,RefGenome
MARD_SAMN05897979_REFG_MMP05897979,1,0,0,0.5,0,0.5,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897987_REFG_MMP05897987,1,0,0,0.5,0,0.5,Actinobacteriota,99.03,RefGenome
MARD_SAMN05897988_REFG_MMP05897988,1,0,0,0.5,0,0.5,Actinobacteriota,99.03,RefGenome
MARD_SAMN05898003_REFG_MMP05898003,1,0,0,0.5,0,0.5,Actinobacteriota,99.03,RefGenome
MARD_SAMN05444487_REFG_MMP05444487,0,0,0,0,0,0,Firmicutes,99.62,RefGenome
MARD_SAMN05897977_REFG_MMP05897977,1,0,0,0.5,0,0.5,Actinobacteriota,99.54,RefGenome
MARD_SAMEA3146264_REFG_MMP3146264,0,0,0,0,0,0,Bacteria-Other,97.99,RefGenome
MARD_SAMEA3146263_REFG_MMP3146263,0,0,0,0,0,0,Bacteria-Other,99.48,RefGenome
MARD_SAMN08384890_REFG_MMP08384890,0,0,0,0,0,0,Cyano-Other,98.86,RefGenome
MARD_SAMD00046775_REFG_MMP00046775,1,0,0,0.5,0,0.5,Actinobacteriota,99.32,RefGenome
MARD_SAMN04999933_REFG_MMP04999933,0,0,0,0,0,0,Gamma-Other,99.78,RefGenome
MARD_SAMN05421806_REFG_MMP05421806,1,0,1,0.5,1,1,Actinobacteriota,99.94,RefGenome
TARA_SAMEA2623054_METAG_OCMKBGHM,0,0,0,0,0,0,Bacteria-Other,94.3,MAG
TARA_SAMEA2623477_METAG_OKOGOBFK,0,0,0,0,0,0,Bacteria-Other,97.4,MAG
TARA_SAMEA2623601_METAG_LGBFILLL,0,0,0,0,0,0,Bacteria-Other,97.64,MAG
TARA_SAMEA2622658_METAG_CHOAGAJB,0,0,0,0,0,0,Gamma-Other,89.96,MAG
TARA_SAMEA2623673_METAG_INBBCOBA,0,0,0,0,0,0,Gamma-Other,96.96,MAG
TARA_SAMEA2622119_METAG_PPKCDGLG,1,0,0,0.5,0,0.5,Planctomycetota,93.36,MAG
MALA_SAMN05422189_METAG_HFLHJDGN,1,0,0,0.5,0,0.5,Bacteria-Other,88.02,MAG
MALA_SAMN05422147_METAG_DIMFAPIO,1,0,0,0.5,0,0.5,Actinobacteriota,92.68,MAG
MARD_SAMD00056695_REFG_MMP00056695,0,0,1,0,1,1,Actinobacteriota,99.97,RefGenome
MARD_SAMN05375008_REFG_MMP05375008,1,0,0,0.5,0,0.5,Firmicutes,99.9,RefGenome
MARD_SAMN05897982_REFG_MMP05897982,1,0,0,0.5,0,0.5,Actinobacteriota,99.2,RefGenome
MARD_SAMEA3146296_REFG_MMP3146296,0,0,0,0,0,0,Bacteria-Other,99.2,RefGenome
MARD_SAMN02436107_REFG_MMP02436107,0,0,0,0,0,0,Cyano-Syn,99.86,RefGenome
MARD_SAMN09041732_REFG_MMP09041732,1,0,0,0.5,0,0.5,Firmicutes,99,RefGenome
MARD_SAMN08979296_REFG_MMP08979296,0,0,0,0,0,0,Actinobacteriota,99,RefGenome
MARD_SAMN08979297_REFG_MMP08979297,0,0,0,0,0,0,Actinobacteriota,99,RefGenome
MARD_SAMN09389114_REFG_MMP09389114,1,0,0,0.5,0,0.5,Firmicutes,99.12,RefGenome
MARD_SAMN04488031_REFG_MMP04488031,1,1,0,1,0,1,Alpha-Rhodobacter,99.19,RefGenome
MARD_SAMN02470762_REFG_MMP02470762,0,0,0,0,0,0,Gamma-Other,99.5,RefGenome
TARA_SAMEA2622843_METAG_HAMAJGDK,0,0,0,0,0,0,Gamma-Other,97.24,MAG
TARA_SAMEA2622710_METAG_DGMLDIHH,0,0,0,0,0,0,Gamma-Other,98.9,MAG
TARA_SAMEA2622119_METAG_PIMPAEMO,0,0,0,0,0,0,Gamma-Other,97.74,MAG
TARA_SAMEA2623756_METAG_CHDMOBPJ,0,0,0,0,0,0,Bacteria-Other,98.02,MAG
TARA_SAMEA2622901_METAG_ONLLOMFJ,1,0,0,0.5,0,0.5,Bacteria-Other,96.68,MAG
TARA_SAMEA2623350_METAG_DDHLMPBK,1,0,0,0.5,0,0.5,Bacteria-Other,96.68,MAG
MALA_SAMN05422160_METAG_ANLEPEDM,1,0,0,0.5,0,0.5,Actinobacteriota,77.97,MAG
TARA_SAMN05326644_METAG_PON00013,1,0,0,0.5,0,0.5,Bacteria-Other,96.68,MAG
TARA_SAMN05326641_METAG_ANW00006,0,0,0,0,0,0,Gamma-Other,98.27,MAG
MARD_SAMN09245787_REFG_MMP09245787,1,0,0,0.5,0,0.5,Actinobacteriota,100,RefGenome
MARD_SAMEA18850168_REFG_MMP18850168,0,0,0,0,0,0,Gamma-Other,96.32,RefGenome
MARD_SAMN05408344_REFG_MMP05408344,0,0,0,0,0,0,Gamma-Other,99.98,RefGenome
MARD_SAMN02261354_REFG_MMP02261354,0,0,0,0,0,0,Cyano-Other,99.89,RefGenome
MARD_SAMN10231957_REFG_MMP10231957,1,0,1,0.5,1,1,Actinobacteriota,100,RefGenome
MARD_SAMN05728473_REFG_MMP05728473,0,0,0,0,0,0,Bacteroidota,99.1,RefGenome
MARD_SAMN05687755_REFG_MMP05687755,0,0,0,0,0,0,Gamma-Other,99.58,RefGenome
TARA_SAMEA2730749_METAG_OLPPLKCL,0,0,0,0,0,0,Bacteria-Other,96.92,MAG
TARA_SAMEA2623859_METAG_BABDCONI,0,0,0,0,0,0,Bacteria-Other,85.6,MAG
TARA_SAMEA4397666_METAG_KIBCBFEH,0,0,1,0,1,1,Gamma-Other,95.87,MAG
TARA_SAMEA2622765_METAG_MAMIPFJC,0,0,0,0,0,0,Gamma-Other,98.53,MAG
TARA_SAMEA2622716_METAG_HLCJJFFL,0,0,0,0,0,0,Gamma-Other,99.08,MAG
TARA_SAMEA2622823_METAG_INOAMIGG,0,0,0,0,0,0,Gamma-Other,98.9,MAG
MALA_SAMN05422170_METAG_EDLGNPJL,0,0,0,0,0,0,Actinobacteriota,87.23,MAG
TARA_SAMN05326646_METAG_PSW00017,1,0,0,0.5,0,0.5,Actinobacteriota,98.4,MAG
MARD_SAMN05284051_REFG_MMP05284051,0,1,1,0.5,1,1,Actinobacteriota,99.64,RefGenome
MARD_SAMN08886634_SAGS_MMP08886634,0,0,0,0,0,0,Cyano-Syn,90.9,SAG
MARD_SAMD00000429_REFG_MMP00000429,0,1,1,0.5,1,1,Alpha-Other,97.48,RefGenome
MARD_SAMEA3146324_REFG_MMP3146324,0,0,0,0,0,0,Bacteria-Other,99.31,RefGenome
MARD_SAMN02261244_REFG_MMP02261244,0,0,0,0,0,0,Gamma-Other,98.3,RefGenome
MARD_SAMN02441415_REFG_MMP02441415,0,0,0,0,0,0,Bacteria-Other,99.51,RefGenome
MARD_SAMN09920664_REFG_MMP09920664,1,0,0,0.5,0,0.5,Firmicutes,99.59,RefGenome
MARD_SAMN08979298_REFG_MMP08979298,0,0,0,0,0,0,Actinobacteriota,98.1,RefGenome
TARA_SAMEA4398387_METAG_JJNBKCLE,0,0,1,0,1,1,Gamma-Other,96.62,MAG
TARA_SAMEA4398360_METAG_PDKANFIF,0,0,0,0,0,0,Gamma-Other,79.65,MAG
TARA_SAMEA2623116_METAG_MLHPBBMM,0,0,0,0,0,0,Cyano-Syn,95.54,MAG
TARA_SAMEA2622766_METAG_KENIBHCH,0,0,0,0,0,0,Gamma-Other,99.08,MAG
MALA_SAMN05422140_METAG_DMBKAHMH,0,0,0,0,0,0,Actinobacteriota,92.52,MAG
TARA_SAMN05326645_METAG_PSE00039,0,0,0,0,0,0,Bacteria-Other,86.92,MAG
MARD_SAMN06140193_REFG_MMP06140193,0,0,1,0,1,1,Gamma-Other,99.47,RefGenome
MARD_SAMEA3872802_REFG_MMP3872802,1,1,0,1,0,1,Gamma-Other,100,RefGenome
MARD_SAMN02261341_REFG_MMP02261341,0,0,0,0,0,0,Cyano-Other,99.82,RefGenome
MARD_SAMN02436091_REFG_MMP02436091,0,0,0,0,0,0,Cyano-Other,98.93,RefGenome
MARD_SAMN02436130_REFG_MMP02436130,0,0,0,0,0,0,Bacteroidota,98.32,RefGenome
MARD_SAMN02436164_REFG_MMP02436164,0,1,0,0.5,0,0.5,Alpha-Rhodobacter,99.44,RefGenome
MARD_SAMN08918410_REFG_MMP08918410,1,1,0,1,0,1,Alpha-Rhodobacter,99.64,RefGenome
MARD_SAMEA4707923_REFG_MMP4707923,0,0,0,0,0,0,Cyano-Syn,99.5,RefGenome
MARD_SAMD00053328_REFG_MMP00053328,1,0,0,0.5,0,0.5,Firmicutes,99.86,RefGenome
MARD_SAMD00053329_REFG_MMP00053329,1,0,0,0.5,0,0.5,Firmicutes,99.9,RefGenome
MARD_SAMN05216207_REFG_MMP05216207,0,0,1,0,1,1,Actinobacteriota,99.7,RefGenome
MARD_SAMEA3872803_REFG_MMP3872803,1,1,0,1,0,1,Gamma-Other,99.64,RefGenome
MARD_SAMN02745681_REFG_MMP02745681,0,0,0,0,0,0,Gamma-Other,99.53,RefGenome
MARD_SAMN05421874_REFG_MMP05421874,0,0,0,0,0,0,Actinobacteriota,98.63,RefGenome
TARA_SAMEA4398111_METAG_GFHMNJCF,1,1,0,1,0,1,Alpha-Rhodobacter,98.39,MAG
TARA_SAMEA4398027_METAG_FDKLNHGC,1,1,0,1,0,1,Alpha-Rhodobacter,92.37,MAG
TARA_SAMEA4398168_METAG_NGBJHDBI,1,1,0,1,0,1,Alpha-Rhodobacter,92,MAG
TARA_SAMEA4397023_METAG_OPBOBABD,1,1,0,1,0,1,Alpha-Rhodobacter,89.46,MAG
TARA_SAMEA4398387_METAG_OKGACJPI,0,1,1,0.5,1,1,Gamma-Other,92.95,MAG
TARA_SAMEA4397051_METAG_PCLNEFKO,1,1,0,1,0,1,Alpha-Rhodobacter,99.48,MAG
TARA_SAMEA2620666_METAG_OJMAHLBC,0,0,1,0,1,1,Alpha-Other,94.34,MAG
MALA_SAMN05422140_METAG_LOIBJDFA,1,1,0,1,0,1,Alpha-Rhodobacter,98.94,MAG
MARD_SAMN08794446_REFG_MMP08794446,0,0,1,0,1,1,Gamma-Other,100,RefGenome
MARD_SAMN08886605_SAGS_MMP08886605,0,0,0,0,0,0,Cyano-Syn,81.24,SAG
MARD_SAMN04965936_REFG_MMP04965936,1,1,0,1,0,1,Alpha-Rhodobacter,99.19,RefGenome
MARD_SAMN02436137_REFG_MMP02436137,1,1,0,1,0,1,Alpha-Rhodobacter,99.64,RefGenome
MARD_SAMN02436225_REFG_MMP02436225,1,1,0,1,0,1,Alpha-Rhodobacter,99.32,RefGenome
MARD_SAMEA104692609_REFG_MMP104692609,1,1,0,1,0,1,Alpha-Rhodobacter,99.74,RefGenome
MARD_SAMN05421511_REFG_MMP05421511,0,0,1,0,1,1,Alpha-Other,100,RefGenome
MARD_SAMN09989089_REFG_MMP09989089,1,1,0,1,0,1,Alpha-Rhodobacter,98.96,RefGenome
MARD_SAMN08918503_REFG_MMP08918503,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,99.48,RefGenome
MARD_SAMN02745781_REFG_MMP02745781,0,0,0,0,0,0,Gamma-Other,97.2,RefGenome
MARD_SAMN05444141_REFG_MMP05444141,0,1,1,0.5,1,1,Alpha-Other,100,RefGenome
MARD_SAMN05444484_REFG_MMP05444484,0,0,0,0,0,0,Bacteroidota,99.46,RefGenome
MARD_SAMN09522150_REFG_MMP09522150,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,99.04,RefGenome
MARD_SAMN05444365_REFG_MMP05444365,0,0,0,0,0,0,Actinobacteriota,99.64,RefGenome
MARD_SAMN08568348_REFG_MMP08568348,1,0,0,0.5,0,0.5,Firmicutes,99.8,RefGenome
MALA_SAMN05422120_METAG_PCCIOILD,0,0,0,0,0,0,Bacteria-Other,79.56,MAG
TARA_SAMEA4396941_METAG_AOBPNINP,1,0,1,0.5,1,1,Alpha-Other,78.3,MAG
TARA_SAMEA4397666_METAG_MHPADDOO,0,1,1,0.5,1,1,Alpha-Other,86.69,MAG
TARA_SAMEA4397586_METAG_OLNPJHKL,0,0,0,0,0,0,Verrucomicrobiota,97.14,MAG
TARA_SAMEA4397920_METAG_NHFLOOAL,0,1,1,0.5,1,1,Alpha-Other,92.17,MAG
TARA_SAMEA4397118_METAG_AANKMKOK,0,0,0,0,0,0,Planctomycetota,97.43,MAG
TARA_SAMEA2622801_METAG_JBCDELJO,1,0,1,0.5,1,1,Gamma-Other,96.72,MAG
TARA_SAMEA2623135_METAG_GANIGMCO,0,0,0,0,0,0,Bacteria-Other,89.11,MAG
TARA_SAMEA2621779_METAG_BFIFFBPD,0,0,0,0,0,0,Cyano-Syn,92.2,MAG
TARA_SAMEA2621812_METAG_MOHOOAMM,0,0,0,0,0,0,Cyano-Syn,92.92,MAG
MALA_SAMN05422140_METAG_JIDOJPBB,1,1,0,1,0,1,Alpha-Rhodobacter,96.45,MAG
TARA_SAMN05326645_METAG_PSE00010,0,0,0,0,0,0,Alpha-Other,98.65,MAG
TARA_SAMN05326646_METAG_PSW00020,0,0,1,0,1,1,Alpha-Other,98.94,MAG
MARD_SAMN09245781_REFG_MMP09245781,0,0,0,0,0,0,Actinobacteriota,100,RefGenome
MARD_SAMN07424250_REFG_MMP07424250,0,1,0,0.5,0,0.5,Alpha-Other,99.21,RefGenome
MARD_SAMN08225564_REFG_MMP08225564,0,0,1,0,1,1,Gamma-Other,97.84,RefGenome
MARD_SAMEA4034450_REFG_MMP4034450,0,0,0,0,0,0,Bacteroidota,99.45,RefGenome
MARD_SAMN02745724_REFG_MMP02745724,0,0,0,0,0,0,Gamma-Other,99.92,RefGenome
MARD_SAMN03084138_REFG_MMP03084138,1,1,0,1,0,1,Gamma-Other,100,RefGenome
MARD_SAMN04957307_REFG_MMP04957307,0,1,0,0.5,0,0.5,Alpha-Rhodobacter,99.7,RefGenome
MARD_SAMN05818643_REFG_MMP05818643,1,0,0,0.5,0,0.5,Alpha-Other,98.24,RefGenome
MARD_SAMN02436112_REFG_MMP02436112,0,0,0,0,0,0,Planctomycetota,97.59,RefGenome
MARD_SAMN02436160_REFG_MMP02436160,0,0,0,0,0,0,Cyano-Syn,98.51,RefGenome
MARD_SAMN06265352_REFG_MMP06265352,0,0,0,0,0,0,Alpha-Other,100,RefGenome
MARD_SAMN08783578_REFG_MMP08783578,1,1,0,1,0,1,Alpha-Rhodobacter,99.18,RefGenome
MARD_SAMN08918501_REFG_MMP08918501,1,1,0,1,0,1,Alpha-Rhodobacter,99.16,RefGenome
MARD_SAMN09932323_REFG_MMP09932323,0,0,0,0,0,0,Firmicutes,99.43,RefGenome
MARD_SAMN10134656_REFG_MMP10134656,0,0,0,0,0,0,Bacteroidota,99.38,RefGenome
MARD_SAMN09273368_REFG_MMP09273368,1,1,0,1,0,1,Alpha-Other,100,RefGenome
MARD_SAMN10231958_REFG_MMP10231958,0,0,0,0,0,0,Actinobacteriota,99.64,RefGenome
MARD_SAMN10231959_REFG_MMP10231959,0,0,0,0,0,0,Actinobacteriota,100,RefGenome
MARD_SAMN05444149_REFG_MMP05444149,1,1,0,1,0,1,Alpha-Rhodobacter,99.48,RefGenome
MARD_SAMEA3522225_REFG_MMP3522225,1,1,0,1,0,1,Alpha-Rhodobacter,99.26,RefGenome
MARD_SAMN09684733_REFG_MMP09684733,1,1,0,1,0,1,Alpha-Rhodobacter,99.2,RefGenome
MARD_SAMN09989090_REFG_MMP09989090,0,0,0,0,0,0,Alpha-Rhodobacter,99.04,RefGenome
MARD_SAMN04488239_REFG_MMP04488239,1,1,0,1,0,1,Alpha-Rhodobacter,99.42,RefGenome
MARD_SAMN05418027_REFG_MMP05418027,1,1,0,1,0,1,Gamma-Other,100,RefGenome
MARD_SAMN05418031_REFG_MMP05418031,1,1,0,1,0,1,Gamma-Other,100,RefGenome
MARD_SAMN05418073_REFG_MMP05418073,1,1,0,1,0,1,Gamma-Other,100,RefGenome
MARD_SAMN08324238_REFG_MMP08324238,0,0,0,0,0,0,Bacteroidota,96.98,RefGenome
MARD_SAMN08912470_REFG_MMP08912470,1,0,0,0.5,0,0.5,Alpha-Other,98.24,RefGenome
TARA_SAMEA4396941_METAG_IJEMMHFI,0,0,0,0,0,0,Gamma-Other,91.04,MAG
TARA_SAMEA4396941_METAG_CLEKMJLB,0,1,1,0.5,1,1,Gamma-Other,94.42,MAG
TARA_SAMEA4397174_METAG_EGMDODDO,0,0,0,0,0,0,Planctomycetota,96.85,MAG
TARA_SAMEA4396489_METAG_KKGDMKHA,1,1,0,1,0,1,Alpha-Other,92.22,MAG
TARA_SAMEA4397295_METAG_NFMMNHJF,0,0,1,0,1,1,Gamma-Other,98.28,MAG
TARA_SAMEA4397295_METAG_PFKAPFFD,0,0,0,0,0,0,Planctomycetota,98.2,MAG
TARA_SAMEA2621107_METAG_NAIODLKO,1,1,0,1,0,1,Alpha-Rhodobacter,99.5,MAG
TARA_SAMEA4397409_METAG_LIEEABDB,0,0,0,0,0,0,Planctomycetota,95.9,MAG
TARA_SAMEA4396515_METAG_COJOLNON,0,0,0,0,0,0,Alpha-Other,83.86,MAG
TARA_SAMEA2619815_METAG_NCFDDDLL,0,0,0,0,0,0,Planctomycetota,95.28,MAG
TARA_SAMEA2623403_METAG_OKECKDIK,1,1,0,1,0,1,Alpha-Rhodobacter,99.22,MAG
TARA_SAMEA4397023_METAG_NKKALNMO,0,0,0,0,0,0,Alpha-Other,99.64,MAG
TARA_SAMEA4397536_METAG_DNIJMCBI,0,0,0,0,0,0,Planctomycetota,98.2,MAG
TARA_SAMEA2620227_METAG_PONKEPAI,0,0,0,0,0,0,Gamma-Other,79.31,MAG
TARA_SAMEA4397051_METAG_BDIOPMOI,0,0,0,0,0,0,Alpha-Other,99.64,MAG
TARA_SAMEA2620812_METAG_HIEKJCAB,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,98.68,MAG
TARA_SAMEA4398360_METAG_MKMJPMHD,0,0,0,0,0,0,Planctomycetota,97.84,MAG
TARA_SAMEA2622738_METAG_EAPOPCAE,0,0,0,0,0,0,Gamma-Other,86.25,MAG
TARA_SAMEA4398432_METAG_IFLIFCAK,0,0,0,0,0,0,Alpha-Other,99.28,MAG
TARA_SAMEA4398432_METAG_EGCBDMCB,0,0,0,0,0,0,Alpha-Other,99.64,MAG
TARA_SAMEA4397586_METAG_MLANKLIE,0,0,0,0,0,0,Alpha-Other,96.2,MAG
TARA_SAMEA2620967_METAG_GMOMFAHB,1,1,0,1,0,1,Alpha-Rhodobacter,90.88,MAG
TARA_SAMEA2621502_METAG_LEDOHCBM,1,1,0,1,0,1,Alpha-Rhodobacter,82.62,MAG
TARA_SAMEA4396988_METAG_MGOBBFJM,0,0,0,0,0,0,Alpha-Other,88.76,MAG
TARA_SAMEA2621191_METAG_JOABIJEI,1,1,0,1,0,1,Alpha-Rhodobacter,99.65,MAG
TARA_SAMEA4397118_METAG_BHLMNNKI,0,0,0,0,0,0,Planctomycetota,98.2,MAG
TARA_SAMEA2623327_METAG_OLEOKFCD,0,0,0,0,0,0,Alpha-Other,91.33,MAG
TARA_SAMEA2623327_METAG_CFOJFPKH,1,1,0,1,0,1,Alpha-Rhodobacter,99.36,MAG
TARA_SAMEA4397255_METAG_PFEJDDLC,0,1,1,0.5,1,1,Alpha-Other,96.58,MAG
TARA_SAMEA4398001_METAG_BPLHNGEK,0,0,0,0,0,0,Alpha-Other,99.64,MAG
TARA_SAMEA2621075_METAG_HPFDGDJD,0,0,0,0,0,0,Bacteria-Other,80.27,MAG
TARA_SAMEA2622801_METAG_LKEPJGOM,0,0,0,0,0,0,Verrucomicrobiota,98.94,MAG
TARA_SAMEA2623463_METAG_GNOAPNFG,0,0,0,0,0,0,Bacteria-Other,78.32,MAG
